id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
4129,A,A,,,,a,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4130,adət,adət,NOUN,5_f-Chabit,"Arab, Hin, Pers a ̄dat < 'ādat",,привычка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4131,admi,admi,NOUN,2_m-V,"Arab, Hin, Pers a ̄dmī < ādamī",man,мужчина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4132,ãdʒ,adʒ,NOUN,5_f-Cintestineкишки,OIAāntrá,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4133,aɖi,aɖi,,,Mandealiaḍḍi 'heel' [Ranganatha 119] < *aḍḍi ʻ heel ʼ. 2. *aḍi -- . 3. *ēḍḍi -- . 4. *ēḍi,n3_f-Vheel,пятка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4134,age,age,ADV,,Hināge < ágra,further,дальше,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4135,agəɭ,agəɭ,NOUN,7_f-idoor,"Himachali, Mandeali *argaḍa, argala",bolt in old houses door bolt,задвижка agi dʰire advfront вперед,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4136,ahɳ,ahɳ,NOUN,7_f-inettleкрапива,Suspicious IA etymology agnika,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4137,airna,airna,,,Bad OIAadhikarōti,vtarrange the warp in order to weave the material arrange,приводить в порядок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4138,ajskrim,ajskrim,,,Eng ice-cream,n5_f-Cice-cream,мороженое,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4139,aɭu,aɭu,,,"OIAāluka, ālukī",n2_m-V potato,картофель,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4140,am,am,,,"Arab, Hin a ̄m < 'ām",adjordinary,обычный,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4141,ama,ama,NOUN,6_f-amotherмать,compensatory lenghtening IA languageambāˊ,ama-bapu n 2_m-Vpl parents,родители,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4142,amb,amb,,,OIAāmrá,n4_m-C mango,манго,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4143,amu,amu,NOUN,3_f-Vmotherмать,compensatory lenghtening IA language ambāˊ,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4144,andre,andre,,,compensatory lenghtening IA languageántara,1) advinside,внутри 2) postinside внутри,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4145,angəɳ,angəɳ,NOUN,4_m-C,Mandealia ːngəṇ < aṅgana,courtyard,двор,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4146,angi,angi,,,compensatory lenghtening IA languageáṅga (āṅga?,) advseparately,отдельно alag,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4147,aɳɖa,aɳɖa,NOUN,1_m-a,OIAāṇḍá,egg,яйцо,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4148,aɳna,aɳna,,,OIAāˊnayati,vtbring,приносить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4149,apɳa,apɳa,,,Bad OIA word *ātmanaka,possone's,свой,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4150,ar,ar,NOUN,5_f-Cgoad,OIAāˊrā,,стрекало1 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4151,ara,ara,NOUN,1_m-a,"Pers, Hin a ̄rā < arra",saw (big),пила (большая),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4152,ari,ari,NOUN,3_f-Vsaw,"Pers, Hina ̄rā + ī < arra",(small),пила (маленькая),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4153,arkʰəɳ,arkhəɳ,NOUN,7_f-ielbowлокоть,Bad OIA wordaratní,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4154,arʃu,arʃu,NOUN,2_m-V,OIAādarśá,mirror,зеркало,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4155,asa,asa,,,Mandeali asse < asmḗ,pers1PL.OBL 1PL.OBL asabepers1) 1PL.ACC 1PL.ACC 2) 1PL.DAT 1PL.DAT,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4156,ase,ase,,,Mandealiasse < *asmē,pers1PL.DIR 1PL.DIR,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4157,ase,ase,,,Mandealiasse < asmḗ,pers1PL.ERG1PL.ERG,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4158,asəra,asəra,,,Mandealiasse < asmḗ,poss1) 1PL.POSS 1PL.POSS 2) our,наш,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4159,atʃarja,atʃarja,,,Skrācārya,npropAcharya,Ачарья,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4160,aʈa,aʈa,NOUN,6_f-a,OIA*ārta,sg flour,мука aʈɳavtpour into pour intoзачёрпывать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4161,auɳa,auɳa,,,Bad OIAāpayati,vinstndcome,приходить Ɐ ɐ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4162,ɐgər,ɐgər,NOUN,5_f-Cwisdom,"Hin, Pers agar",tooth,зуб мудрости B b,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4163,bad,bad,,,"Arab, Hin ba ̄d < bā'd",postafter,после,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4164,badəɭ,badəɭ,NOUN,4_m-C,OIAvārdala,cloud,облако,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4165,badza,badza,,,compensatory lenghtening IA language bharjita,n2_m-V hay,сено,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4166,badzɳa,badzɳa,,,OIAvādyatē,viplay,играть(about music),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4167,badzra,badzra,NOUN,1_m-a,OIA*bājjara,sg pearl millet,"просо, жемчужное просо",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4168,badʒa,badʒa,,,Hin bājā < vāˊdya,n1_m-a musical instrument,музыкальный инструмент,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4169,baəʈʰ,baəʈh,NUM,,Bad OIA word dvāṣaṣṭi,sixty two,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4170,bag,bag,NOUN,4_m-C,"Pers, Hin ba ̄g̣",garden,сад,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4171,bagər,bagər,NOUN,5_f-Csg,OIA*vātōdgūra,1) air,воздух 2) wind ветер,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4172,bãh,bah,NOUN,7_f-iarm,OIAbāhú,,рука (от плеча до запястья)1 22 of 40 7/7/2023 9:52 PM bahɳn 4_m-C vahanaездовое животное божества,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4173,bahɳa,bahɳa,,,OIAvāhayati,vtsow,сеять,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4174,bahr,bahr,,,OIA*bāhira,advoutside,"наружу, снаружи",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4175,bahuɽ,bahuɽ,NOUN,7_f-i1),"Accent issue, Bad OIA *vāsavāṭī",mud floor,земляной пол miṭṭī kā farś2) floor пол,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4176,bãka,baka,ADJ,,OIAvāmá + akka?,them. beautiful,красивый,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4177,bakʰi,bakhi,NOUN,1),"compensatory lenghtening IA language, неопознанный индоарийский язык, где kṣ>khkh IA languagevákṣas",side,сторона 2) sufaceповерхность 3) part часть,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4178,balu,balu,NOUN,,Hin bālū < vāluka,sand,песок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4179,baɭ,baɭ,NOUN,4_m-C,OIAvāˊla,sg hair,волосы baɭin 3_f-Vearringсерьга,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4180,baɭu,baɭu,NOUN,2_m-V,OIAvālaka,earring,серьга bamən n4_m-C braminбрамин,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4181,bandər,bandər,,,Bad OIA word vāˊnara,n4_m-C monkey,обезьяна,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4182,bandri,bandri,,,Bad OIA word vāˊnara,n3_f-Vmonkey (female),обезьяна (самка),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4183,baɳ,baɳ,NOUN,4_m-C,OIAbāṇá,1) bowstring,тетива 2) arrowстрела,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4184,bapəs,bapəs,,,"Hin, Pers va ̄pas",adv1) back,обратно bapəs dzaɳa vireturn возвращаться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4185,bapu,bapu,NOUN,2_m-V,OIA*bāppa,father,отец,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4186,bara,bara,NUM,,Bad OIA word dvāˊdaśa,twelve,двенадцать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4187,barən,barən,,,Pers bāre,postabout,о,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4188,bas,bas,,,OIAvāsa,n5_f-Csmell,запах,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4189,bãs,bas,NOUN,4_m-C,Hin bā̃s < vaṁśá,bamboo,бамбук,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4190,basmati,basmati,,,"Hin, Skrba ̄smati",n3_f-Vrice basmati,рис басмати,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4191,baʃɳa,baʃɳa,,,OIAvāˊśyatē,vi1) croak,каркать 2) moo мычать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4192,batər,batər,,,compensatory lenghtening IA language *vaptra,n5_f-C,"влажность почвы после дождя, достаточная для посеваmoisture (of soil)влажность почвы",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4193,batʰəɭ,bathəɭ,NOUN,5_f-Cдля,OIA*vāpasthalā,,"культивации пшеницы или кукурузы, но не риса13 of 40 7/7/2023 9:52 PM dry field сухое поле",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4194,baʈɳa,baʈɳa,,,OIAvartáyati,1) vsheave,"вязать снопы 2) vttwistсплетать, скручивать",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4195,baw̄a,bawa,ADJ,,OIAvāˊma,them. left,левый,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4196,bɐs,bɐs,,,Eng bus,n5_f-Cbus,автобус,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4197,bɐttər,bɐttər,NUM,,OIAdvāˊsaptati,seventy two,"проверить, не минимальная ли пара bɐtʃpən n 4_m-C childhood детство",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4198,bɐʈ,bɐʈ,,,Eng but,conjbut,но bebin3_f-Velder sisterстаршая сестра,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4199,bed,bed,NOUN,2_m-V,Skrveda,Veda,Веда,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4200,bedza,bedza,NOUN,1_m-a,OIA*baijya,sg seed,семя,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4201,bel,bel,,,dental sonant only IA languagevḗlā,n5_f-Ctime (of the day),время суток,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4202,bel,bel,NOUN,5_f-Cvineлоза,OIAvēlli,bendan 1_m-a guy,человек,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4203,benk,benk,NOUN,4_m-C,Eng bank,bank,банк,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4204,beɽʰa,beɽha,NOUN,1_m-a,Bad OIA wordvēṣṭá,castle,замок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4205,beʃɳa,beʃɳa,,,OIAúpaviśati,1) vishend sit,сидеть 2) auxCOMPL COMPL,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4206,betsɳa,betsɳa,,,OIA*vētyayati,vtsell,продавать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4207,beʈa,beʈa,,,OIA*bēṭṭa,n1_m-a 1) son,сын 2) boy мальчик 3) child ребёнок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4208,beʈi,beʈi,NOUN,3_f-Vdaughterдочь,OIA*bēṭṭa,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4209,beʈɽi,beʈɽi,,,OIA*bēṭṭa,n3_f-Vwoman,женщина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4210,beuɽ,beuɽ,NOUN,7_f-ilower,Suspicious IA etymology *vētuka- or *vēḍu,(outer) border of terrace field,наружная граница террасного поля bewkupʰi nstupid thingглупость,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4211,bɛdəlɳa,bɛdəlɳa,VERB,,"Arab, Hin badalna < badal",turn,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4212,bɛdən,bɛdən,NOUN,4_m-C,"Hin, Arab badan",body,тело,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4213,bɛhɳ,bɛhɳ,,,"ɛ/ɐ IA language, Himachali bhaginī",n7_f-isister,сестра,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4214,bɛkɳa,bɛkɳa,,,Himachali bakɳõ < *bakk у Тёрнера? скорее bāk / vāk?,vtopen (mouth),открывать рот mũh kholna1 1 1 24 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4215,bɛksa,bɛksa,,,Eng box,n1_m-a box,"коробка bɛnd kɛrna (Pers, Hin band ) vt1) close закрывать 2) stop прекращать bɛntʃn 4_m-C bench скамья",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4216,bɛɳna,bɛɳna,NOUN,4_m-C,"ɛ/ɐ IA language, Mandeali, Punjabi vánati, vanṓti, *vanvati, *vanyatē",farther's elder brother,старший брат отца bɛɽi ama (Bad OIA word vaḍra + ambāˊ ) n 6_f-afather’s elder brother’s wifeжена старшего брата отца,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4217,bɛɽna,bɛɽna,,,"OIAvárdhatē ʻ grows, increases ʼ",vi,размножаться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4218,bɛtəkʰ,bɛtəkh,,,"Hin, Pers batakh < bat ̤t̤ax",n5_f-Cduck,утка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4219,bɛtsɳa,bɛtsɳa,,,Hin vacyátē,vi1) escape,спасаться 2) be saved оставаться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4220,bədam,bədam,NOUN,4_m-C,Pers bādām,almond,миндаль,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4221,bədlaɳa,bədlaɳa,,,"Arab, Hin badalna < badal",vtchange,менять,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4222,bədʰaɳa,bədhaɳa,,,OIAvardhayati,vtmake kill,заставить убить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4223,bədzar,bədzar,NOUN,,"Pers, Hin ba ̄zār",market,рынок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4224,bədzʰeɭna,bədzheɭna,,,OIAbúdhyatē,vtwake,будить jagāna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4225,bəɖʰija,bəɖhija,ADJ,,Hinbaɽʰija < vardhita,athem. perfect,прекрасный,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4226,bəgar,bəgar,NOUN,,Pers begār,"hard work, care",тяжёлая мучительная работа,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4227,bəgere,bəgere,,,"Arab, Hin vag ̣airah < va-g ̣airu-hu",prtand the like,и тому подобное,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4228,bəgitsa,bəgitsa,NOUN,1_m-a,"Pers, Hin bag ̣īcā < bāg̣īca",garden,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4229,bəkʰan,bəkhan,NOUN,4_m-C,OIAvyākhyāˊna,story,рассказ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4230,bəkʰaɳa,bəkhaɳa,,,Suspicious IA etymology*dvālayati X dhúkṣatē,vtlight,зажечь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4231,bəlgəm,bəlgəm,,,Arabbalg̣am,n4_m-C cough,кашель,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4232,bəɳsoka,bəɳsoka,NOUN,1_m-a,Unknown vana + ?,civet,"пальмовая цивета bəɽ-bəɽ kɛrna vtspeak a lot, babbleмного говорить, болтать",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4233,bəɽʰaɳa,bəɽhaɳa,,,Bad OIA wordvardháyati,vtenlarge,увеличивать bəsprt1) enough достаточно 2) soвот,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4234,bəʃah,bəʃah,NOUN,4_m-C,OIAviśvāsa,hope,надежда5 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4235,bəʃaɳa,bəʃaɳa,,,OIAúpaviśati + caus,vtseat,усаживать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4236,bətsaɳa,bətsaɳa,,,OIA vacyátē + caus,vtsave,спасать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4237,bətsʰaɳa,bətshaɳa,,,OIA*vicchādayati,vtspread,стелить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4238,bətsʰeɳ,bətsheɳ,,,OIA*vicchādana,n5_f-C1) bed cloth,постель 2) подстилка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4239,bəʈũi,bəʈui,,,OIA*vartu,n3_f-Vmetallic vessel for water,металлический сосуд для воды,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4240,bidʰwa,bidhwa,NOUN,6_f-awidowвдова,"Skr, Hin vidhwa < vidhávā",,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4241,bidzɭi,bidzɭi,NOUN,3_f-V1),OIAvidyullatā,lightning,молния 2) electricity электричество,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4242,bidʒɛj,bidʒɛj,NOUN,5_f-Cvictory,"Skr, Accent issuevijaya",,победа,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4243,bigjan,bigjan,NOUN,4_m-C,Skrvijñana,science,наука,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4244,bih,bih,NUM,,Bad OIA word viṁśatí,twenty bihaɭn 3_f-Vfoot of mountain,подножье горы,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4245,bihaũsra,bihausra,,,Accent issue †*vibhāniḥsāra,n6_f-aearly morning,раннее утро,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4246,bikɳa,bikɳa,,,Hinvikrīyatē,vibe for sale,продаваться bikna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4247,bina,bina,NOUN,1_m-a,Bad OIA word*bīṇḍa-,small mat,небольшой коврик,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4248,binɳa,binɳa,,,OIA*vindhati,vtpierce,"прокалывать (уши, нос) biɳnan 1_m-a earhole прокол в ухе",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4249,birʃ,birʃ,NOUN,4_m-C,"Bad OIA, Skr vŕ̊ṣan",bull,бык,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4250,bisərna,bisərna,,,OIAvismarati,vt1) forget,забывать 2) loseтерять,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4251,biʃwas,biʃwas,NOUN,4_m-C,"Skr, Hin viśvāsa",belief,вера,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4252,bitsʰu,bitshu,NOUN,2_m-V,OIAvŕ̊ścika,scorpion,скорпион,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4253,bjah,bjah,NOUN,1_m-a,OIAvivāhá,marriage,"свадьба bjaln 7_f-inight food, dinnerужин",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4254,bjaz,bjaz,,,"Skr, Hin byaz < vya ̄ja",n4_m-C financial interest,процент по кредиту,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4255,bjũʃri,bjuʃri,,,Bad OIAvaṁśī,n3_f-Vbamboo flute,бамбуковая дудочка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4256,blagɳa,blagɳa,,,OIA*vilagyati  ?,"vtdelay, take someone's timedelay",задерживать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4257,bɳaɳa,bɳaɳa,,,"OIAvānayati, vanayati",vt1) make,делать 2) create создавать 3) cook готовить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4258,bobi,bobi,NOUN,3_f-Velder,Suspicious IA etymology bhaginī ?,sister,старшая сестра,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4259,bobo,bobo,NOUN,3_f-Velder,Suspicious IA etymology bhaginī ?,sister,старшая сестра6 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4260,boɖər,boɖər,NOUN,4_m-C,Engborder,1) border,граница 2) cloth border граница,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4261,bolɳa,bolɳa,,,OIA*bōll,vtsay,говорить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4262,bomb,bomb,NOUN,4_m-C,Engbomb,bomb,бомба,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4263,botəl,botəl,NOUN,5_f-Cbottleбутылка,Eng bottle,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4264,boʈi,boʈi,,,Suspicious IA etymologybhaktá,n2_m-V cook,повар,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4265,bɔdza,bɔdza,NOUN,1_m-a,"Pers, Arab waẓāʼiʻ",,"то, что несут на спинеweight груз, ноша",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4266,bɔhɳa,bɔhɳa,,,OIAváhati,vtcarry,нести,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4267,bɔkra,bɔkra,,,OIAbárkara,n1_m-a goat (male),козел,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4268,bɔkri,bɔkri,,,OIAbárkara,n3_f-Vgoat (female),коза,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4269,bɔkt,bɔkt,,,"Pers, Himachali bɔkt < vaqt",n4_m-C time,время,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4270,bɔld,bɔld,NOUN,4_m-C,dental sonant only IA language balivárda,1) ox,буйвол 2) bull бык bɔnn 4_m-C Himalayan oakгималайский дуб,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4271,bɔnɳa,bɔnɳa,,,OIAbandhati,vttie,связывать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4272,bɔɳ,bɔɳ,,,OIAvána,n4_m-C forest,лес,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4273,bɔɳɖɳa,bɔɳɖɳa,,,"OIAváṇṭati, vaṇṭáyati",vtshare,делить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4274,bɔrdzɳa,bɔrdzɳa,,,OIA†vardhyatē,vigrow,расти,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4275,bɔrʃ,bɔrʃ,NOUN,5_f-Cyearгод,OIAvarṣá,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4276,bɔɽ,bɔɽ,NOUN,5_f-Ccorner,Unknown,,"конец, край",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4277,bɔt,bɔt,NOUN,5_f-Croad,OIAvártman,,путь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4278,bɔtsʰi,bɔtshi,,,OIAvatsá,n3_f-Vshe-calf,телочка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4279,bɔtsʰu,bɔtshu,NOUN,2_m-V,OIAvatsá,calf (he),бычок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4280,bragʰ,bragh,NOUN,4_m-C,OIAvyāghrá + met,1) tiger,тигр 2) leopardлеопард 3) lion лев,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4281,brɛɳɖa,brɛɳɖa,,,"Hin, Portbarāṇḍā < veranda",n1_m-a 1) verandah (upper floor),веранда 2) balcony балкон,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4282,brjaɭ,brjaɭ,NOUN,1_m-a,Bad OIAvarṣakāla,sg hot weather (summer),жаркая погода (лето),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4283,brũn5_f-Cwarp,brun5_f-Cwarp,,,of textile,,основа ткани,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4284,bɽaɭi,bɽaɭi,,,OIAbíḍāla,n3_f-Vcat,кошка budɳavtcover закрывать отверстие kisī ched ko band karna7 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4285,budʰ,budh,NOUN,4_m-C,Skrbudhavāra,Wednesday,среда,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4286,buhar,buhar,NOUN,7_f-ibroom,OIAbahukara / bahukāra,stick,метла,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4287,bumɳi,bumɳi,NOUN,3_f-Vдве,Suspicious IA etymology *vunāti,,"спицы, соединённые цепочкой, которыми закалывают патту при надевании pins for costume булавки для костюма",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4288,bunna,bunna,,,OIA*vunāti,vtweave,ткать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4289,bura,bura,ADJ,,OIA*bura,them. bad,плохой 2) advbadплохо,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4290,buʈa,buʈa,,,OIA*būṭṭa,n1_m-a tree,дерево,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4291,buzurg,buzurg,NOUN,4_m-C,"Pers, Hin buzurg < bozorg",elder,старик Bʰ bʰ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4292,bʰadru,bhadru,,,"Punjabi, Mandeali < bhādrapada???","nBhadrapad, name of month (August- September)",,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4293,bʰadzi,bhadzi,,,Himachali b'adzɪ < bharjita,n3_f-Vfried vegetables,жареные овощи,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4294,bʰag,bhag,NOUN,4_m-Csg,"Skr, Hin bhāg < bhāgáḥ",1) miller's part of grain,"доля зерна, достающаяся мельнику 2) fate судьба 3) lotдоля",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4295,bʰagja,bhagja,,,Skrbhāgya,n1_m-a fate,судьба,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4296,bʰala,bhala,NOUN,1_m-a,Hin bhālā < bhalla,spear,копьё,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4297,bʰaɭɳa,bhaɭɳa,,,OIAbhāláyatē,vtstndwatch,смотреть,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4298,bʰaɳbʰaɳi,bhaɳbhaɳi,NOUN,3_f-Vhard,ɛ/ɐ IA language*bhan bhánati,headache,сильная головная боль,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
