id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
5417,ʈuka,ʈuka,NOUN,1_m-a,OIA*ṭukka,haystack,стог сена,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5418,ʈulɳa,ʈulɳa,,,Bad OIA word*ṭōll,vinod,дремать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5419,ʈuɳɖu,ʈuɳɖu,,,OIA*ṭuṇṭa etc,n2_m-V hand,рука,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5420,ʈura,ʈura,ADJ,,Suspicious IA etymology turá,them. big-eared,"ушастый ʈuʃɳavtwash  мыть, чистить sāf karna Ʈʰ ʈʰ ʈʰaəʈʰcardnum sixty eight",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5421,ʈʰakər,ʈhakər,,,OIAṭhakkura,n4_m-C 1) lord,"господин, господь 2) name of a landlord  caste ʈʰakɳavtstop останавливать rokna29 of 32 7/7/2023 9:54 PM",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5422,ʈʰakri,ʈhakri,,,OIAṭhakkura,nprop3_f-V Thakri (female name),Тхакри (женское имя),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5423,ʈʰakru,ʈhakru,PROPN,2_m-V,OIAṭhakkura,Thakru (male name),Тхакру (мужское имя),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5424,ʈʰaɳa,ʈhaɳa,NOUN,1_m-a,OIAsthāˊna,"prison, jail",тюрьма ʈʰapərna vt1) catch ловить catch2) grasp хватать рукой hāth se paka ṛna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5425,ʈʰɐk-ʈʰɐk,ʈhɐk-ʈhɐk,,,"Punjabi, Hin  ṭhak-ṭhak < *ṭhakk¹",n5_f-Cknock,стук,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5426,ʈʰɐnkɳa,ʈhɐnkɳa,,,"Hin, ɛ/ɐ IA language ṭhanaknā <*ṭhan","viding, jingle",звенеть (о металле) ʈʰeln 7_f-ilogтолстая деревяшка ʈʰɛgɳavtcheat обманывать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5427,ʈʰɛɳɖa,ʈhɛɳɖa,,,"Hin, Bad OIA word t ̣haṇḍā < stabdha",adjthem. cold,холодный ṭ hanḍā ʈʰiməkɳa vt1) догнать 2) grasp хватать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
