id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes
1094,Dhiňḍhrá,Dhindhra,,NOUN,n.m.,,,A kind of food made of esculent roots mixed with gram flour and cooked in vapour,,A kind of food made of esculent roots mixed with gram flour and cooked in vapour,,pl. -é,mainDictionary_repaired.csv,37,original,
1095,Dhíngá-dhíngí,Dhinga-dhingi,,N.F.,n.f.,,,"Violence, force",,"Violence, force",,,mainDictionary_repaired.csv,37,original,
1096,Dhíngá-dhíngiyé,Dhinga-dhingiye,,ADV.,adv.,,,Forcibly,,Forcibly,,,mainDictionary_repaired.csv,37,original,
1097,Dhiňkó,Dhinko,,N.F.,n.f. pl.,,,Humblings,,Humblings,,,mainDictionary_repaired.csv,37,original,
1098,Dhiňkó,Dhinko,,N.F.,n.f. pl.,,,Beseeching,,Beseeching,,,mainDictionary_repaired.csv,37,original,
1099,Dhírá,Dhira,,ADV.,adv.,,,In a waiting manner,,In a waiting manner,,"-ho, 'Wait a little'",mainDictionary_repaired.csv,37,original,
1100,Dhíraj,Dhiraj,,NOUN,n.m.,,S. Dhairya,Patience,,Patience,,"-dharṇu, v.t. re. To be patient",mainDictionary_repaired.csv,37,original,
1101,Dhishṇu,Dhishnu,,V.T.,v.t. re.,,S. Dṛiśiḥ,To see,,To see,,"f. -í, pl. -é. Also dishṇu",mainDictionary_repaired.csv,37,original,
1102,Dhiyé,Dhiye,,,,,,A polite phrase used in addressing boys,,A polite phrase used in addressing boys,,,mainDictionary_repaired.csv,37,original,
1103,"Dhúňichhá, -u","Dhunichha, -u",,ADJ.,adj.,,,Brown,,Brown,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,37,original,
1104,Dhobbí,Dhobbi,,NOUN,n.m.,,H. dhobī,A washerman,,A washerman,,"f. -aṇ, The washerman's wife; -ṭu, n.m. The son of a washerman; f. -í, The daughter of a washerman.",mainDictionary_repaired.csv,37,original,
1105,Dhofá,Dhofa,,NOUN,n.m.,,,See Dhoká,,See Dhoká,,,mainDictionary_repaired.csv,37,original,
1106,Ḍhoh or -á,Dhoh or -a,,NOUN,n.m.,,,A place,,A place,,,mainDictionary_repaired.csv,37,original,
1107,Dhoká,Dhoka,,NOUN,n.m.,,H. dhokhá,Misunderstanding,,Misunderstanding,,"-kháṇá, v.i. re. To misunderstand. (Also dhofá)",mainDictionary_repaired.csv,37,original,
1108,Ḍho'l,Dho'l,,NOUN,n.m.,,H. ḍhol,"A drum,-bajáwṇu, v.t. re. To beat a drum,-chí, n.m. A drummer; -kí, n.f. A small drum; One who beats a drum.",,"A drum,-bajáwṇu, v.t. re. To beat a drum,-chí, n.m. A drummer; -kí, n.f. A small drum; One who beats a drum.",,,mainDictionary_repaired.csv,37,original,
1109,Dhoňsá,Dhonsa,,NOUN,n.m.,,,See Dhaúňsá,,See Dhaúňsá,,,mainDictionary_repaired.csv,37,original,
1110,Dhóňsí,Dhonsi,,N.F.,n.f.,,,A grain measure equal to 9 sers (Two kánsís make one dhóňsí),,A grain measure equal to 9 sers (Two kánsís make one dhóňsí),,used in Kullu,mainDictionary_repaired.csv,37,original,
1111,Dhoṇu,Dhonu,,V.T.,v.t. re.,,H. dhoná,To wash,,To wash,,"f. -í, pl. -é",mainDictionary_repaired.csv,37,original,
1112,Ḍhoṇu,Dhonu,,V.T.,v.t. re.,,,To carry,,To carry,,"f. -í, pl. -é",mainDictionary_repaired.csv,37,original,
1113,Dhorá,Dhora,,NOUN,n.m.,,,Management,,Management,,Also skerú,mainDictionary_repaired.csv,37,original,
1114,Dhoṭ,Dhot,,N.F.,n.f.,,H. dhotī,A piece of cloth worn between the legs,,A piece of cloth worn between the legs,,,mainDictionary_repaired.csv,38,original,
1115,Dhow,Dhow,,,,,,See Ḍhóh,,See Ḍhóh,,,mainDictionary_repaired.csv,38,original,
1116,Dhowá,Dhowa,,NOUN,n.m.,,,"A place, a room",,"A place, a room",,,mainDictionary_repaired.csv,38,original,
1117,Dhowáwṇu,Dhowawnu,,V.T.,v.t. re.,,,To cause to carry,,To cause to carry,,"f. -í, pl. -é",mainDictionary_repaired.csv,38,original,
1118,Dhrágul,Dhragul,,NOUN,n.m.,,"Fr. dhár, a ridge, and bágur, the air",The air that blows on a ridge,,The air that blows on a ridge,,,mainDictionary_repaired.csv,38,original,
1119,Dhrárí,Dhrari,,N.F.,n.f.,,,"A wild plant which bears white flowers and produces a cotton-like substance, which when dry is used for tinder",,"A wild plant which bears white flowers and produces a cotton-like substance, which when dry is used for tinder",,,mainDictionary_repaired.csv,38,original,
1120,Dhúr,Dhur,,N.F.,n.f.,,,The female organ,,The female organ,,,mainDictionary_repaired.csv,38,original,
1121,Dhúňshlú or -á,Dhunshlu or -a,,ADJ.,adj.,,S. dhūsara,Grey (in colour),,Grey (in colour),,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,38,original,
1122,Dhúḷ,Dhul,,N.F.,n.f.,,H. dhūl,Dust,,Dust,,,mainDictionary_repaired.csv,38,original,
1123,Dhúm-dhám,Dhum-dham,,NOUN,n.m.,,H. dhūm-dhām,Pomp,,Pomp,,,mainDictionary_repaired.csv,38,original,
1124,Dhúmṛú or -á,Dhumru or -a,,ADJ.,adj.,,,See Dhúňshlú,,See Dhúňshlú,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,38,original,
1125,Dhuṇáwṇu,Dhunawnu,,V.T.,v.t. re.,,,To cause to shiver,,To cause to shiver,,,mainDictionary_repaired.csv,38,original,
1126,Dhuṇ-fírí,Dhun-firi,,N.F.,n.f.,,,A kind of plant used as a vegetable,,A kind of plant used as a vegetable,,,mainDictionary_repaired.csv,38,original,
1127,Dhuṇ-ṇu,Dhun-nu,,V.I.,v.i. and t. re.,,,(1) To shiver; (2) To churn,,(1) To shiver; (2) To churn,,,mainDictionary_repaired.csv,38,original,
1128,Dhúň-wáň,Dhun-wan,,NOUN,n.m.,,S. Dhūma,Smoke,,Smoke,,,mainDictionary_repaired.csv,38,original,
1129,Dhúp,Dhup,,N.F.,n.f.,,H. dhūp,Incense,,Incense,,,mainDictionary_repaired.csv,38,original,
1130,Dhúr,Dhur,,N.F.,n.f.,,,(1) The uppermost part of a roof; (2) A peak; (3) Direction,,(1) The uppermost part of a roof; (2) A peak; (3) Direction,,,mainDictionary_repaired.csv,38,original,
1131,Dhúr,Dhur,,NOUN,n.m. pl.,,,The four quarters or directions,,The four quarters or directions,,Chau dhúre 'In the four directions.',mainDictionary_repaired.csv,38,original,
1132,Dhúrí or dhúrú,Dhuri or dhuru,,ADV.,adv.,,,All over the country,,All over the country,,,mainDictionary_repaired.csv,38,original,
1133,Dhurpat,Dhurpat,,NOUN,n.m.,,,"A plank used for teaching letters, written with red powder, to boys",,"A plank used for teaching letters, written with red powder, to boys",,,mainDictionary_repaired.csv,38,original,
1134,Dhushlí,Dhushli,,N.F.,n.f.,,,Mismanagement,,Mismanagement,,,mainDictionary_repaired.csv,38,original,
1135,Dhuwá,Dhuwa,,N.F.,n.f.,,,See Dhúňí,,See Dhúňí,,,mainDictionary_repaired.csv,38,original,
1136,Dhuwáň,Dhuwan,,NOUN,n.m.,,,Smoke,,Smoke,,"-lagná, v.i. re. To feel smoke",mainDictionary_repaired.csv,38,original,
1137,Dhwálá,Dhwala,,NOUN,n.m.,,,"A kind of tax, levied at one rupee per landholder (used in Koṭi)",,"A kind of tax, levied at one rupee per landholder (used in Koṭi)",,,mainDictionary_repaired.csv,38,original,
1138,Dhwálí,Dhwali,,N.F.,n.f.,,,"(1) A descent, down-hill; (2) A tax (See dhwálá)",,"(1) A descent, down-hill; (2) A tax (See dhwálá)",,,mainDictionary_repaired.csv,38,original,
1139,Dhyár,Dhyar,,NOUN,n.m.,,H. udhār,A borrowing,,A borrowing,,"-deṇu, v.t. re. To make a loan; -leṇu, v.t. ar. To borrow",mainDictionary_repaired.csv,38,original,
1140,Dhyáwí,Dhyawi,,N.F.,n.f.,,,A milkmaid,,A milkmaid,,,mainDictionary_repaired.csv,38,original,
1141,Dhyán,Dhyan,,NOUN,n.m.,,S. Dhyāna,Meditation,,Meditation,,"-láṇu, v.i. re. To meditate",mainDictionary_repaired.csv,38,original,
1142,Dhyáṇ,Dhyan,,N.F.,n.f.,,,See Dhaiṇ,,See Dhaiṇ,,,mainDictionary_repaired.csv,38,original,
1143,Dhyáṛá,Dhyara,,NOUN,n.m. pl.,,,The day,,The day,,"-ú. -í, n.f. Daily rations",mainDictionary_repaired.csv,38,original,
1144,Dhyáṛí-dhyáṛí,Dhyari-dhyari,,ADV.,adv.,,,Every day,,Every day,,,mainDictionary_repaired.csv,38,original,
1145,Diálí,Diali,,N.F.,n.f.,,S. Dīpāvalī,The Diwálí festival,,The Diwálí festival,,,mainDictionary_repaired.csv,38,original,
1146,Dib,Dib,,NOUN,n.m.,,S. Divya = Divine,An oath,,An oath,,"-deṇu, v.a. re. To give an oath; -leṇu, v.i. ir. To take an oath",mainDictionary_repaired.csv,38,original,
1147,Ḍibr,Dibr,,NOUN,n.m.,,,A pond,,A pond,,"-í, n.f. A small tank",mainDictionary_repaired.csv,38,original,
1148,Ḍibrú,Dibru,,NOUN,n.m.,,,A small vessel used to cook in,,A small vessel used to cook in,,f. -í,mainDictionary_repaired.csv,38,original,
1149,Díhṇu,Dihnu,,V.A.,v.a. re.,,,To snow,,To snow,,Also dīňhṇu,mainDictionary_repaired.csv,38,original,
1150,Dik,Dik,,NOUN,n.m.,,P. diqq,Trouble,,Trouble,,,mainDictionary_repaired.csv,38,original,
1151,Dikú,Diku,,NOUN,n.m.,,,Snowfall,,Snowfall,,"-lágṇu, v.s. re. To fall, of snow. Verse: Dikú lógá Jáhruwé, Jhoṭá káṭá Badáruwé. 'It began to snow at Jáhrú, And a male buffalo was sacrificed by the Badárú people.' (Jáhrú is a place in Simla; Badárú is a sept of Kanets in that State)",mainDictionary_repaired.csv,39,original,
1152,Dil,Dil,,NOUN,n.m.,,P. dil,"The heart, mind",,"The heart, mind",,"-deṇu, v.i. ir. To give one's heart; -láṇu, v.i. ir. To be attentive; -dekhṇu, v.t. re. To examine one's heart; -o-dú hoṇu, v.s. re. To be disheartened.",mainDictionary_repaired.csv,39,original,
1153,Dilrí,Dilri,,ADJ.,adj. f.,,,A cow or buffalo having horns which point towards the ground,,A cow or buffalo having horns which point towards the ground,,,mainDictionary_repaired.csv,39,original,
1154,Dím,Dim,,NOUN,n.m.,,,A temple of a deity,,A temple of a deity,,"-rí, n.f. A small temple",mainDictionary_repaired.csv,39,original,
1155,Ḍiňg,Ding,,NOUN,n.m.,,,"A stick, a bar",,"A stick, a bar",,"-é, adv. With a stick",mainDictionary_repaired.csv,39,original,
1156,Ḍiňglí,Dingli,,N.F.,n.f.,,,A small stick,,A small stick,,Also ḍiňgṭá,mainDictionary_repaired.csv,39,original,
1157,Diňwáň,Dinwan,,NOUN,n.m.,,,The man who speaks on behalf of a deity,,The man who speaks on behalf of a deity,,Also Diwáň or Dewá,mainDictionary_repaired.csv,39,original,
1158,Diňwaṇ,Dinwan,,NOUN,n.m.,,,Snowfall,,Snowfall,,,mainDictionary_repaired.csv,39,original,
1159,Diň-uk,Din-uk,,NOUN,n.m. pl.,,H. dīmak,White-ants,,White-ants,,,mainDictionary_repaired.csv,39,original,
1160,Díň-wíň,Din-win,,N.F.,n.f.,,,The wife of a díňwáň,,The wife of a díňwáň,,,mainDictionary_repaired.csv,39,original,
1161,Dishṇu,Dishnu,,V.T.,v.t. re.,,S. Dṛiśiḥ,See Dhishṇu,,See Dhishṇu,,,mainDictionary_repaired.csv,39,original,
1162,Ditá or -u,Dita or -u,,V.P.T.,v.p.t.,,,Gave,,Gave,,"m.; f. -í, pl. -é. See Doṇu. Also díá.",mainDictionary_repaired.csv,39,original,
1163,Díúň-ṇu,Diun-nu,,V.I.,v.i. re.,,,To snow,,To snow,,,mainDictionary_repaired.csv,39,original,
1164,Diutí,Diuti,,N.F.,n.f.,,,A small earthen lamp,,A small earthen lamp,,n.m. -ṭú,mainDictionary_repaired.csv,39,original,
1165,Diut,Diut,,NOUN,n.m.,,H. diwaṭ,A lamp or lamp-stand,,A lamp or lamp-stand,,,mainDictionary_repaired.csv,39,original,
1166,Diwh,Diwh,,N.F.,n.f.,,,A firefly,,A firefly,,Also dyúwlí,mainDictionary_repaired.csv,39,original,
1167,Diwá,Diwa,,NOUN,n.m.,,S. Dīpa; H. dīyā,A lamp (of earth),,A lamp (of earth),,,mainDictionary_repaired.csv,39,original,
1168,Diwáň,Diwan,,NOUN,n.m.,,,See Diňwáň,,See Diňwáň,,,mainDictionary_repaired.csv,39,original,
1169,Díwí,Diwi,,N.F.,n.f.,,,A small lamp lighted with clarified butter at a religious ceremony,,A small lamp lighted with clarified butter at a religious ceremony,,,mainDictionary_repaired.csv,39,original,
1170,Diwṭ,Diwt,,NOUN,n.m.,,H. diwaṭ,A lamp-stand,,A lamp-stand,,,mainDictionary_repaired.csv,39,original,
1171,Ḍláňgá,Dlanga,,ADJ.,adj. m.,,,A pine or cedar tree having two long branches,,A pine or cedar tree having two long branches,,"f. -í, pl. -é",mainDictionary_repaired.csv,39,original,
1172,Ḍlícha,Dlicha,,NOUN,n.m.,,P. gālīchā,"A rug, a carpet",,"A rug, a carpet",,,mainDictionary_repaired.csv,39,original,
1173,Ḍlúchá,Dlucha,,NOUN,n.m.,,,A torch (of torch-wood),,A torch (of torch-wood),,,mainDictionary_repaired.csv,39,original,
1174,Ḍṇáu,Dnau,,NOUN,n.m.,,,A kind of wild cat,,A kind of wild cat,,,mainDictionary_repaired.csv,39,original,
1175,Do,Do,,ADJ.,adj.,,H. do,Two,,Two,,,mainDictionary_repaired.csv,39,original,
1176,Dobá,Doba,,NOUN,n.m.,,,"Destruction, ruining",,"Destruction, ruining",,,mainDictionary_repaired.csv,39,original,
1177,Dobṇu,Dobnu,,V.T.,v.t. re.,,,To destroy,,To destroy,,,mainDictionary_repaired.csv,39,original,
1178,Dobṛú or -á,Dobru or -a,,ADJ.,adj.,,,Of twofold nature,,Of twofold nature,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,39,original,
1179,Do'chí,Do'chi,,N.F.,n.f.,,,A hamlet,,A hamlet,,"-lágní, v.i. re. To look after two villages",mainDictionary_repaired.csv,39,original,
1180,Doḍá,Doda,,NOUN,n.m.,,,A soap-nut,,A soap-nut,,"-e-rá-ḍá'l, n.m. The soap-nut tree",mainDictionary_repaired.csv,39,original,
1181,Dófá,Dofa,,NOUN,n.m.,,,See Dhofá,,See Dhofá,,,mainDictionary_repaired.csv,39,original,
1182,Doh,Doh,,NOUN,n.m.,,S. Droha,Enmity,,Enmity,,,mainDictionary_repaired.csv,39,original,
1183,Dohá,Doha,,NOUN,n.m.,,H. dohā,(1) A couplet; (2) Poetry,,(1) A couplet; (2) Poetry,,,mainDictionary_repaired.csv,40,original,
1184,Doháí,Dohai,,N.F.,n.f.,,H. duháī,Exclamation for justice,,Exclamation for justice,,,mainDictionary_repaired.csv,40,original,
1185,Dohaṛ,Dohar,,N.F.,n.f.,,,A sheet of cloth,,A sheet of cloth,,,mainDictionary_repaired.csv,40,original,
1186,Dohí,Dohi,,NOUN,n.m.,,S. drohin,Enmity (used in Kuṭhár),,Enmity (used in Kuṭhár),,,mainDictionary_repaired.csv,40,original,
1187,"Dohrá, -u","Dohra, -u",,ADJ.,adj.,,,Double,,Double,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,40,original,
1188,Dohrí,Dohri,,N.F.,n.f.,,,A blanket,,A blanket,,,mainDictionary_repaired.csv,40,original,
1189,Dohrí-purṇí,Dohri-purni,,V.T.,v.t. re.,,,To cross or penetrate,,To cross or penetrate,,,mainDictionary_repaired.csv,40,original,
1190,Dohṛú,Dohru,,NOUN,n.m.,,,A large blanket,,A large blanket,,,mainDictionary_repaired.csv,40,original,
1191,Dokh,Dokh,,NOUN,n.m.,,,See Dósh,,See Dósh,,,mainDictionary_repaired.csv,40,original,
1192,Do'l,Do'l,,NOUN,n.m.,,H. ḍol,Swinging,,Swinging,,,mainDictionary_repaired.csv,40,original,
1193,Ḍól,Dol,,NOUN,n.m.,,H. ḍol,A bucket.,,A bucket.,,"-ar or -é, With a bucket",mainDictionary_repaired.csv,40,original,
1194,Dolá,Dola,,NOUN,n.m.,,,A kind of palanquin for a bride,,A kind of palanquin for a bride,,"f. -í, A small palanquin",mainDictionary_repaired.csv,40,original,
1195,Dolrí,Dolri,,N.F.,n.f.,,,"An ornament, a garland",,"An ornament, a garland",,,mainDictionary_repaired.csv,40,original,
1196,Doň-né,Don-ne,,NOUN,n.m. pl.,,,A kind of food,,A kind of food,,,mainDictionary_repaired.csv,40,original,
1197,Doň-rú,Don-ru,,NOUN,n.m.,,S. Ḍamaru,A small drum of the hour-glass shape,,A small drum of the hour-glass shape,,,mainDictionary_repaired.csv,40,original,
1198,Doṛṭú or doṛṭí,Dortu or dorti,,NOUN,n.m. or f.,,,A small field,,A small field,,,mainDictionary_repaired.csv,40,original,
1199,Dóṛú,Doru,,NOUN,n.m.,,,(1) A field; (2) An ornament of women,,(1) A field; (2) An ornament of women,,,mainDictionary_repaired.csv,40,original,
1200,Do'ṭí,Do'ti,,N.F.,n.f.,,,A very small plot of land,,A very small plot of land,,"Báro háth ḍoṭí--ṭháro háth moṛ. 'A little field 6 yards long, and a smoothing plough 9 yards wide.'",mainDictionary_repaired.csv,40,original,
1201,Do'ṭu,Do'tu,,NOUN,n.m.,,,A small field,,A small field,,"Also dóṭí, n.f.",mainDictionary_repaired.csv,40,original,
1202,Doṭṭai,Dottai,,ADV.,adv.,,,To-morrow,,To-morrow,,"Se áwṇá a doṭṭai, 'He is to come to-morrow.'",mainDictionary_repaired.csv,40,original,
1203,Doṭṭé,Dotte,,ADV.,adv.,,,To-morrow,,To-morrow,,,mainDictionary_repaired.csv,40,original,
1204,Dpóhr,Dpohr,,NOUN,n.m.,,S. Dvi-prahara,Midday,,Midday,,"-hoṇá, v.i. re. To become midday",mainDictionary_repaired.csv,40,original,
1205,Dráṇi,Drani,,N.F.,n.f.,,,The wife of one's husband's younger brother,,The wife of one's husband's younger brother,,Also dréṇí,mainDictionary_repaired.csv,40,original,
1206,Drá't,Dra't,,NOUN,n.m.,,,A long kind of sickle used to cut thorns,,A long kind of sickle used to cut thorns,,"f. -í, A sickle used to cut grass. (Syn. Dá'ch) (The vowel 'a' is prolated)",mainDictionary_repaired.csv,40,original,
1207,Dráṭí,Drati,,N.F.,n.f.,,,See Dá'ch,,See Dá'ch,,,mainDictionary_repaired.csv,40,original,
1208,Dréṇí,Dreni,,N.F.,n.f.,,,See Dráṇi,,See Dráṇi,,,mainDictionary_repaired.csv,40,original,
1209,Drés,Dres,,N.F.,n.f.,,,A chintz,,A chintz,,,mainDictionary_repaired.csv,40,original,
1210,Droṭú,Drotu,,NOUN,n.m.,,,Earrings,,Earrings,,,mainDictionary_repaired.csv,40,original,
1211,Drub,Drub,,N.F.,n.f.,,,See Júb,,See Júb,,,mainDictionary_repaired.csv,40,original,
1212,Drubdá,Drubda,,N.F.,n.f.,,S. Dwividhā,Doubt,,Doubt,,,mainDictionary_repaired.csv,40,original,
1213,Dseḷú or -á,Dselu or -a,,ADJ.,adj.,,,That which is not level,,That which is not level,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,40,original,
1214,Dsúṇí,Dsuni,,N.F.,n.f.,,S. Deva-shayanī,A festival observed on the 11th of the bright half of Asháṛh,,A festival observed on the 11th of the bright half of Asháṛh,,,mainDictionary_repaired.csv,40,original,
1215,Dúhṇá,Duhna,,NOUN,n.m.,,,A milking pot,,A milking pot,,,mainDictionary_repaired.csv,40,original,
1216,Dúj,Duj,,N.F.,n.f.,,S. Dwitīyā,The second day of the bright or dark half of a month,,The second day of the bright or dark half of a month,,"Bháíṇ-dúj. A festival which takes place on the second of the bright half of Kártik. One's sister is visited and food taken from her hands, presents given according to one's means.",mainDictionary_repaired.csv,40,original,
1217,Dujá or -u,Duja or -u,,ADJ.,adj.,,,Second,,Second,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,41,original,
1218,Dujíé,Dujie,,ADV.,adv.,,,Secondly,,Secondly,,,mainDictionary_repaired.csv,41,original,
1219,Dukh,Dukh,,NOUN,n.m.,,S. Duḥkha,Trouble,,Trouble,,"-hoṇu, v.i. re. To be troubled",mainDictionary_repaired.csv,41,original,
1220,Dukháwṇu,Dukhawnu,,V.T.,v.t. re.,,,To put to trouble,,To put to trouble,,,mainDictionary_repaired.csv,41,original,
1221,Dukhí or dukhiyá,Dukhi or dukhiya,,ADJ.,adj.,,,Troubled,,Troubled,,,mainDictionary_repaired.csv,41,original,
1222,Dukhṇá,Dukhna,,NOUN,n.m. pl.,,,"An ulcer, a blister, ailment",,"An ulcer, a blister, ailment",,-é,mainDictionary_repaired.csv,41,original,
1223,Dukhṇú,Dukhnu,,NOUN,n.m.,,,"(1) A blister, an ulcer; (2) An ailment",,"(1) A blister, an ulcer; (2) An ailment",,"-karṇá, v.i. re. To ail",mainDictionary_repaired.csv,41,original,
1224,Dulchá,Dulcha,,NOUN,n.m.,,,A torch of torchwood,,A torch of torchwood,,"f. -í, A small torch",mainDictionary_repaired.csv,41,original,
1225,Dúm,Dum,,NOUN,n.m.,,,The name of a village deity,,The name of a village deity,,,mainDictionary_repaired.csv,41,original,
1226,Dumṛá,Dumra,,NOUN,n.m.,,,A low caste,,A low caste,,"f. -í, pl. -é",mainDictionary_repaired.csv,41,original,
1227,Duňḍs,Dunds,,NOUN,n.m.,,,A dead fœtus,,A dead fœtus,,,mainDictionary_repaired.csv,41,original,
1228,Duňgú or -á,Dungu or -a,,ADJ.,adj.,,,Deep,,Deep,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,41,original,
1229,Duňkaṛ,Dunkar,,NOUN,n.m.,,,A precipice,,A precipice,,,mainDictionary_repaired.csv,41,original,
1230,Duṇkú or -á,Dunku or -a,,ADJ.,adj.,,,"Doubled,-karṇo, v.t. re. To make two-fold,m.; f. -í, pl. -é",,"Doubled,-karṇo, v.t. re. To make two-fold,m.; f. -í, pl. -é",,,mainDictionary_repaired.csv,41,original,
1231,Duṇú or -á,Dunu or -a,,ADJ.,adj.,,,"Doubled, twofold",,"Doubled, twofold",,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,41,original,
1232,Dúṇú,Dunu,,NOUN,n.m.,,,A kind of wild onion,,A kind of wild onion,,,mainDictionary_repaired.csv,41,original,
1233,Dupaṭṭá,Dupatta,,NOUN,n.m.,,H. dupaṭṭā,A sheet of cloth,,A sheet of cloth,,,mainDictionary_repaired.csv,41,original,
1234,Dupó'hr,Dupo'hr,,N.F.,n.f.,,S. Dwiprahara,Midday,,Midday,,,mainDictionary_repaired.csv,41,original,
1235,Dúṛh,Durh,,ADJ.,adj.,,,See Déṛ,,See Déṛ,,,mainDictionary_repaired.csv,41,original,
1236,Dúr,Dur,,ADJ.,adj.,,,Far away; n.m. Distance,,Far away; n.m. Distance,,,mainDictionary_repaired.csv,41,original,
1237,Durb,Durb,,NOUN,n.m.,,,A grain measure. 100 kháňshas make one durb.,,A grain measure. 100 kháňshas make one durb.,,,mainDictionary_repaired.csv,41,original,
1238,Durbhág,Durbhag,,NOUN,n.m.,,S. Durbhāgya,"Misfortune, loss",,"Misfortune, loss",,"-deṇá, v.t. re. To complain",mainDictionary_repaired.csv,41,original,
1239,Durkaṇu,Durkanu,,V.I.,v.i. re.,,,To run on,,To run on,,"f. -í, pl. -é",mainDictionary_repaired.csv,41,original,
1240,Durr,Durr,,PHRASE,phrase,,,"A cross word, to say 'be off'",,"A cross word, to say 'be off'",,,mainDictionary_repaired.csv,41,original,
1241,Dusheṭṭá,Dushetta,,ADJ.,adj.,,,Sloping,,Sloping,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,41,original,
1242,Dusillá,Dusilla,,NOUN,n.m.,,,"Two ears of wheat or barley on one stalk, supposed to be an ill omen",,"Two ears of wheat or barley on one stalk, supposed to be an ill omen",,,mainDictionary_repaired.csv,41,original,
1243,Duwálṇu,Duwalnu,,V.T.,v.t. re.,,,To enter,,To enter,,,mainDictionary_repaired.csv,41,original,
1244,Dwádash,Dwadash,,N.F.,n.f.,,S. Dwādashī,The twelfth day of the bright or dark half of a month,,The twelfth day of the bright or dark half of a month,,,mainDictionary_repaired.csv,41,original,
1245,Dwánní,Dwanni,,N.F.,n.f.,,H. do-annī,The coin of 2 annas,,The coin of 2 annas,,,mainDictionary_repaired.csv,41,original,
1246,Dwár,Dwar,,NOUN,n.m.,,,A cave,,A cave,,,mainDictionary_repaired.csv,41,original,
1247,Dwár,Dwar,,NOUN,n.m.,,S. Dwāra,Doors,,Doors,,,mainDictionary_repaired.csv,41,original,
1248,Dwá't,Dwa't,,N.F.,n.f.,,H. dāwāt,Inkstand,,Inkstand,,Syn. Masájan,mainDictionary_repaired.csv,41,original,
1249,Dyálá,Dyala,,NOUN,n.m.,,,A play in which fire is burnt,,A play in which fire is burnt,,,mainDictionary_repaired.csv,41,original,
1250,Dyálí,Dyali,,N.F.,n.f.,,,See Diálí,,See Diálí,,,mainDictionary_repaired.csv,41,original,
1251,Dyáṇu,Dyanu,,V.T.,v.t. re.,,,To cause to give,,To cause to give,,,mainDictionary_repaired.csv,41,original,
1252,"Dyáwaṛ, dyáwaṛí","Dyawar, dyawari",,NOUN,"n.m., n.f.",,,He or she whose mother is the concubine to a chief,,He or she whose mother is the concubine to a chief,,,mainDictionary_repaired.csv,41,original,
1253,Dyár,Dyar,,NOUN,n.m.,,,Cedar tree,,Cedar tree,,,mainDictionary_repaired.csv,41,original,
1254,Dyúwlí,Dyuwli,,N.F.,n.f.,,,The fire-fly,,The fire-fly,,,mainDictionary_repaired.csv,41,original,
1255,E,E,,SUFFIX,suffix,,,A termination to nouns and pronouns which denotes the plural,,A termination to nouns and pronouns which denotes the plural,,"as: É,lí= this, É,lé= these.",mainDictionary_repaired.csv,42,original,
1256,E,E,,VOCATIVE,vocative particle,,,Used in addressing anyone,,Used in addressing anyone,,"E ṭú oré háňḍó, 'O Sir, come here.'",mainDictionary_repaired.csv,42,original,
1257,Ebé,Ebe,,ADV.,adv.,,,Now,,Now,,Ebé ká karí? 'What's to be done now?',mainDictionary_repaired.csv,42,original,
1258,Ebú,Ebu,,ADV.,adv.,,,Just now,,Just now,,Se dewá ebú. 'He has gone just now.',mainDictionary_repaired.csv,42,original,
1259,Ejí,Eji,,PHRASE,phrase,,,"Sir, O Madam",,"Sir, O Madam",,,mainDictionary_repaired.csv,42,original,
1260,Ek,Ek,,ADJ.,adj.,,H. ek,One,,One,,Múṇ fóbá ek rupaiyá. 'I got one rupee.',mainDictionary_repaired.csv,42,original,
1261,Ekhó,Ekho,,PRO.,pro.,,,Some,,Some,,see Ek,mainDictionary_repaired.csv,42,original,
1262,Ekí,Eki,,ADJ.,adj.,,,Only one,,Only one,,Ekí jane etí kheḍai. 'Send one man here.',mainDictionary_repaired.csv,42,original,
1263,Eki-bárí,Eki-bari,,ADV.,adv.,,,Once; At one time,,Once; At one time,,,mainDictionary_repaired.csv,42,original,
1264,Én,En,,NOUN,n.m.,,,See Ain,,See Ain,,"Used in Bághal, Kumhársain and Nálágarh",mainDictionary_repaired.csv,42,original,
1265,Erá,Era,,ADV.,adv.,,,See Ishú,,See Ishú,,,mainDictionary_repaired.csv,42,original,
1266,Ere,Ere,,PHRASE,phrase,,,O you,,O you,,,mainDictionary_repaired.csv,42,original,
1267,E-re-lá,E-re-la,,PHRASE,phrase,,,O you Sir,,O you Sir,,,mainDictionary_repaired.csv,42,original,
