id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes
45,Akhṭaí,Akhtai,,N.PL.,n.pl.,,,See Akkhai,,See Akkhai,,,mainDictionary_repaired.csv,9,original,
46,Akṛaṇu,Akranu,,V.I.,v.i. re.,,,"To be stiff, to strut",,"To be stiff, to strut",,"f. -í, pl. -é",mainDictionary_repaired.csv,9,original,
47,Álú,Alu,,NOUN,n.m.,,,"An esculent root, like the potato (Luchúli)",,"An esculent root, like the potato (Luchúli)",,,mainDictionary_repaired.csv,9,original,
48,Alakh-jagáwṇá,Alakh-jagawna,,V.I.,v.i. re.,,,To ask for alms,,To ask for alms,,,mainDictionary_repaired.csv,9,original,
49,Álú,Alu,,NOUN,n.m.,,,A drink,,A drink,,"-bhární, v.t. re. To drink",mainDictionary_repaired.csv,9,original,
50,Amá,Ama,,N.F.,n.f.,,S. Ambá,Mother,,Mother,,,mainDictionary_repaired.csv,9,original,
51,Amal,Amal,,NOUN,n.m.,,,Intoxication,,Intoxication,,,mainDictionary_repaired.csv,9,original,
52,Amb,Amb,,NOUN,n.m.,,S. Ámra,Mango,,Mango,,Also ámb,mainDictionary_repaired.csv,9,original,
53,Ambar,Ambar,,ADV.,adv.,,,"Up, in the sky; prep. above",,"Up, in the sky; prep. above",,Also ambare,mainDictionary_repaired.csv,9,original,
54,Ambchárí,Ambchari,,N.F.,n.f.,,,"A post held by the Kanwar, said to be equivalent to Private Secy.",,"A post held by the Kanwar, said to be equivalent to Private Secy.",,used in the Mandi State,mainDictionary_repaired.csv,9,original,
55,Amilá,Amila,,ADJ.,adj.,,,Sour,,Sour,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,9,original,
56,Áṇ,An,,N.F.,n.f.,,,"An oath, a curse",,"An oath, a curse",,,mainDictionary_repaired.csv,9,original,
57,Aňchal,Anchal,,NOUN,n.m.,,"S. Aňchala, a cloth",Corner of a cloth or shawl,,Corner of a cloth or shawl,,,mainDictionary_repaired.csv,9,original,
58,Aňchlá,Anchla,,NOUN,n.m.,,,Ribbon which is more than two fingers in breadth,,Ribbon which is more than two fingers in breadth,,,mainDictionary_repaired.csv,9,original,
59,Aňga,Anga,,NOUN,n.m.,,,A wasp,,A wasp,,pl. Aňgal,mainDictionary_repaired.csv,9,original,
60,Andhá,Andha,,ADJ.,adj.,,,Blind,,Blind,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,9,original,
61,Andhá-dhundh,Andha-dhundh,,N.F.,n.f.,,,Misrule,,Misrule,,"-máchní, -hoṇí, v.s. re. To suffer from misrule or bad government.",mainDictionary_repaired.csv,9,original,
62,"Andhoú, -á","Andhou, -a",,ADJ.,adj.,,,"Unwashed, unclean",,"Unwashed, unclean",,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,9,original,
63,Andí,Andi,,N.F.,n.f.,,,See Aṇṇí,,See Aṇṇí,,,mainDictionary_repaired.csv,9,original,
64,Andr,Andr,,ADV.,adv.,,H. andar,Inside,,Inside,,"o-dá, adv. From inside",mainDictionary_repaired.csv,9,original,
65,Andrélá,Andrela,,NOUN,n.m.,,,The auspicious time at which a bride enters her husband's home,,The auspicious time at which a bride enters her husband's home,,Syn. wism,mainDictionary_repaired.csv,9,original,
66,Andro-dá or -rá,Andro-da or -ra,,ADV.,adv.,,,From the inside,,From the inside,,,mainDictionary_repaired.csv,9,original,
67,Andro-khe,Andro-khe,,ADV.,adv.,,,To the inside,,To the inside,,,mainDictionary_repaired.csv,9,original,
68,Andról,Androl,,NOUN,n.m.,,,See Narol,,See Narol,,,mainDictionary_repaired.csv,9,original,
69,Angaṇu,Anganu,,V.S.,v.s. re.,,,"To be entangled, to be embroiled",,"To be entangled, to be embroiled",,,mainDictionary_repaired.csv,9,original,
70,Angaṇat,Anganat,,ADJ.,adj.,,,"Innumerable, numerous",,"Innumerable, numerous",,Alike in all genders,mainDictionary_repaired.csv,9,original,
71,Aňger,Anger,,NOUN,n.m.,,,Sinews (pl.),,Sinews (pl.),,,mainDictionary_repaired.csv,10,original,
72,Áṇí,Ani,,N.F.,n.f.,,,(1) An edge; (2) a band of soldiers; (3) a battle,,(1) An edge; (2) a band of soldiers; (3) a battle,,,mainDictionary_repaired.csv,10,original,
73,Aň-jyá,An-jya,,ADV.,adv.,,,"A little, a small quantity",,"A little, a small quantity",,,mainDictionary_repaired.csv,10,original,
74,Áṇí-tákhṇú,Ani-takhnu,,V.T.,v.t. re.,,,To keep ready,,To keep ready,,,mainDictionary_repaired.csv,10,original,
75,Áṇí-deṇú,Ani-denu,,V.T.,v.t. re.,,,To bring,,To bring,,,mainDictionary_repaired.csv,10,original,
76,Anjal,Anjal,,NOUN,n.m.,,S. Aňjali,The cavity formed by putting the palms of the hands together,,The cavity formed by putting the palms of the hands together,,,mainDictionary_repaired.csv,10,original,
77,Aňkaí,Ankai,,NOUN,n.m.,,,Revenue in kind,,Revenue in kind,,used in the Mandí State,mainDictionary_repaired.csv,10,original,
78,Ammuk,Ammuk,,ADJ.,adj.,,,"Durable, imperishable",,"Durable, imperishable",,alike in all genders,mainDictionary_repaired.csv,10,original,
79,Aṇṇ,Ann,,NOUN,n.m.,,,Testicles (pl.),,Testicles (pl.),,also andí,mainDictionary_repaired.csv,10,original,
80,Áṇ-uṇ,An-un,,V.T.,v.t. re.,,,"To bring, to fetch",,"To bring, to fetch",,"f. -í, pl. -é",mainDictionary_repaired.csv,10,original,
81,Anrí,Anri,,N.F.,n.f.,,,A small piece of land left unploughed,,A small piece of land left unploughed,,,mainDictionary_repaired.csv,10,original,
82,Ant,Ant,,NOUN,n.m.,,S. Anta,End,,End,,pl. -o,mainDictionary_repaired.csv,10,original,
83,Áṇṭ,Ant,,N.F.,n.f.,,,"Enmity, discord",,"Enmity, discord",,pl. -o,mainDictionary_repaired.csv,10,original,
84,Ánthí,Anthi,,V.,v.,,,Is,,Is,,"Ní-ánthí, Is not",mainDictionary_repaired.csv,10,original,
85,Anwalá,Anwala,,NOUN,n.m.,,S. Ámalaka,Emblica myrobalan (Phyllanthus emblica),,Emblica myrobalan (Phyllanthus emblica),,pl. -é,mainDictionary_repaired.csv,10,original,
86,"Ápṇú, -á","Apnu, -a",,PRO.,pro.,,,One's own,,One's own,,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,10,original,
87,Appe,Appe,,PRO.,pro.,,,See Appú,,See Appú,,"(Bághal, Kumhársain and Nálágarh). Proverb: Appe kurí ghar nú basdí, horánu sikh dasdí 'The girl doesn't live with her husband, but she gives hints to others.'",mainDictionary_repaired.csv,10,original,
88,"Appú, áppí","Appu, appi",,PRO.,pro.,,,"Myself, yourself, himself, herself",,"Myself, yourself, himself, herself",,,mainDictionary_repaired.csv,10,original,
89,Ár,Ar,,NOUN,n.m.,,H. yár,A friend,,A friend,,,mainDictionary_repaired.csv,10,original,
90,Árá,Ara,,NOUN,n.m.,,,(1) A friend; (2) a kind of long saw,,(1) A friend; (2) a kind of long saw,,,mainDictionary_repaired.csv,10,original,
91,Aṛá,Ara,,ADJ.,adj.,,,"Aslant, crooked",,"Aslant, crooked",,"m.; f. -í, pl. -é",mainDictionary_repaired.csv,10,original,
92,Aṛhá,Arha,,NOUN,n.m.,,S. Áḍhaka,A grain measure equal to 4 páthás,,A grain measure equal to 4 páthás,,"Also Aṛhaṭ, Araṭ",mainDictionary_repaired.csv,10,original,
93,Árí,Ari,,N.F.,n.f.,,,(1) The handle of a plough; (2) adj. crooked,,(1) The handle of a plough; (2) adj. crooked,,,mainDictionary_repaired.csv,10,original,
94,Árí,Ari,,N.F.,n.f.,,H. yárí,"Friendship, acquaintance",,"Friendship, acquaintance",,,mainDictionary_repaired.csv,10,original,
95,Arié-kharié,Arie-kharie,,ADV.,adv.,,,In trouble,,In trouble,,,mainDictionary_repaired.csv,10,original,
96,Arj,Arj,,NOUN,n.m.,,P. arz,A request,,A request,,pl. -o,mainDictionary_repaired.csv,10,original,
97,Aṛṇú,Arnu,,V.A.,v.a. re.,,,To insist,,To insist,,"f. -í, pl. -é",mainDictionary_repaired.csv,10,original,
98,Arshṛá,Arshra,,NOUN,n.m.,,H. árshí,A looking-glass,,A looking-glass,,,mainDictionary_repaired.csv,10,original,
99,Áṛú,Aru,,NOUN,n.m.,,,The hill apricot,,The hill apricot,,pl. no singular,mainDictionary_repaired.csv,10,original,
100,Arúsá,Arusa,,NOUN,n.m.,,,A medicinal plant,,A medicinal plant,,,mainDictionary_repaired.csv,10,original,
101,Ásau,Asau,,V.,v.,,,"Is, or are",,"Is, or are",,"From the irreg. verb hoṇú, to be",mainDictionary_repaired.csv,10,original,
102,Asé,Ase,,PRO.,pro.,,"Punjábí, así",We (1st pers. pl. nominative),,We (1st pers. pl. nominative),,,mainDictionary_repaired.csv,10,original,
103,Ast,Ast,,V.,v.,,,Art,,Art,,"2nd pers. sing. pres. of hoṇú, to be",mainDictionary_repaired.csv,10,original,
104,Ásh,Ash,,N.F.,n.f.,,S. Áshá,Hope,,Hope,,,mainDictionary_repaired.csv,10,original,
105,Ashí,Ashi,,ADJ.,adj.,,,80,,80,,"-wáň, 80th",mainDictionary_repaired.csv,10,original,
106,Ashiyá,Ashiya,,NOUN,n.m.,,S. Ashíti=80,A fine of Rs. 80 in cash paid to a ruler at a jágrá,,A fine of Rs. 80 in cash paid to a ruler at a jágrá,,,mainDictionary_repaired.csv,10,original,
107,Áshú,Ashu,,NOUN,n.m.,,S. Ashru,Tears,,Tears,,"Also ássú. Proverb: Sháré muiň sháshu, Sáwane áye áshu. 'Her mother-in-law died in June, she weeps for her in July' (implying inconsistency).",mainDictionary_repaired.csv,10,original,
108,Asklá,Askla,,NOUN,n.m.,,,A pudding made of rice-flour,,A pudding made of rice-flour,,,mainDictionary_repaired.csv,10,original,
109,Asklá,Askla,,NOUN,n.m.,,,A pudding made of rice-flour,,A pudding made of rice-flour,,,mainDictionary_repaired.csv,11,original,
110,Asrá,Asra,,NOUN,n.m.,,S. Ashraya,Hope,,Hope,,"-rákhní, v.t. re. To rely on",mainDictionary_repaired.csv,11,original,
111,Astáj,Astaj,,NOUN,n.m.,,P. ustad,A clever man,,A clever man,,Also stáj,mainDictionary_repaired.csv,11,original,
112,Asthán,Asthan,,NOUN,n.m.,,S. Sthána,"A place, especially of a deity",,"A place, especially of a deity",,,mainDictionary_repaired.csv,11,original,
113,"Astmí, áṭheň","Astmi, athen",,N.F.,n.f.,,S. Ashṭamí,The eighth day of the bright or dark half of a month,,The eighth day of the bright or dark half of a month,,,mainDictionary_repaired.csv,11,original,
114,Astú,Astu,,NOUN,n.m. pl.,,,"Human bones sent to the Ganges, after cremation",,"Human bones sent to the Ganges, after cremation",,Also fúl,mainDictionary_repaired.csv,11,original,
115,"Athkaj, athké","Athkaj, athke",,NOUN,n.m. pl.,,,The forget-me-not,,The forget-me-not,,The word is only used as a plural and is also applied to the burrs which get entangled in woollen clothes.,mainDictionary_repaired.csv,11,original,
116,Aṭhth,Athth,,ADJ.,adj.,,S. Ashṭa,8,,8,,,mainDictionary_repaired.csv,11,original,
117,Aṭhwárá,Athwara,,NOUN,n.m.,,"S. Ashṭavára, 8 days",A term in which each pargana has to supply three coolies daily for various duties to the State (Kuthár State). Begar for 8 days or labour in the darbar (Jubbal).,,A term in which each pargana has to supply three coolies daily for various duties to the State (Kuthár State). Begar for 8 days or labour in the darbar (Jubbal).,,In Bushahr...,mainDictionary_repaired.csv,11,original,
118,Aṭkaṇu,Atkanu,,V.T.,v.t. re.,,,"To stop, to wait, to retain",,"To stop, to wait, to retain",,"f. -í, pl. -é",mainDictionary_repaired.csv,11,original,
119,Aṭkarkí-jeolá,Atkarki-jeola,,NOUN,n.m.,,,A term for exceptionally inferior land for which cash payment was made,,A term for exceptionally inferior land for which cash payment was made,,"Kullu, Lyall Sett. Rep. 1875",mainDictionary_repaired.csv,11,original,
120,Aṭṭá,Atta,,NOUN,n.m.,,H. áṭá,Flour,,Flour,,,mainDictionary_repaired.csv,11,original,
