id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
439,Brátí-beṭhṇu,Brati-bethnu,,V.S.,v.s. re.,,,To dun,,To dun,,Also brát-líṇ,mainDictionary_repaired.csv,19,original,,Brátí-beṭhṇu,Brátí-bएṭhṇu,low,unmapped_chars_sample='Brátí-' count=11,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'r', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 't', 'pos': 3}, {'matched': None, 'char': 'í', 'pos': 4}, {'matched': None, 'char': '-', 'pos': 5}]"
440,Bresht,Bresht,,NOUN,n.m.,,S. Vṛihaspati,Thursday,,Thursday,,,mainDictionary_repaired.csv,19,original,,Bresht,Brएsht,low,unmapped_chars_sample='Brsht' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'r', 'pos': 1}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 2, 'len': 1, 'note': 'Mid-front vowel'}, {'matched': None, 'char': 's', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': None, 'char': 't', 'pos': 5}]"
441,Bṭhith,Bthith,,NOUN,n.m.,,,Flour of pot-herb grain,,Flour of pot-herb grain,,,mainDictionary_repaired.csv,19,original,,Bṭhit̪ʰ,Bṭhiथ,low,unmapped_chars_sample='Bṭhi' count=4,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'ṭ', 'pos': 1}, {'matched': None, 'char': 'h', 'pos': 2}, {'matched': None, 'char': 'i', 'pos': 3}, {'matched': 'th', 'ipa': 't̪ʰ', 'deva': 'थ', 'pos': 4, 'len': 2, 'note': ""Dental aspirated 't'""}]"
442,Bṭholí,Btholi,,N.F.,n.f.,,,Bread made of pot-herb grain,,Bread made of pot-herb grain,,,mainDictionary_repaired.csv,19,original,,Bṭholí,Bṭhओlí,low,unmapped_chars_sample='Bṭhlí' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'ṭ', 'pos': 1}, {'matched': None, 'char': 'h', 'pos': 2}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 3, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': 'l', 'pos': 4}, {'matched': None, 'char': 'í', 'pos': 5}]"
443,Buárá or bwárá,Buara or bwara,,NOUN,n.m.,,,"A helper, one who helps a fellow villager and gets food, but no cash, in return",,"A helper, one who helps a fellow villager and gets food, but no cash, in return",,"pl. Buáre or bwáre. -láṇe, v.a. re. To engage helpers; -dewṇu, v.i. re. To go to help.",mainDictionary_repaired.csv,19,original,,Buárá or bwárá,Buárá ओr bwárá,low,unmapped_chars_sample='Buárá ' count=13,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'á', 'pos': 2}, {'matched': None, 'char': 'r', 'pos': 3}, {'matched': None, 'char': 'á', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}]"
444,Búbá,Buba,,NOUN,n.m.,,,The husband of one's father's sister,,The husband of one's father's sister,,"f. -í, Father's sister; pl. -é",mainDictionary_repaired.csv,19,original,,Búbá,Búbá,low,unmapped_chars_sample='Búbá' count=4,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'ú', 'pos': 1}, {'matched': None, 'char': 'b', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}]"
445,Bubér-bhái,Buber-bhai,,NOUN,n.m.,,,Father's sister's son,,Father's sister's son,,,mainDictionary_repaired.csv,19,original,,Bubeːr-bhái,Bubए (lengthened)r-bhái,low,unmapped_chars_sample='Bubr-b' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'b', 'pos': 2}, {'matched': 'é', 'ipa': 'eː', 'deva': 'ए (lengthened)', 'pos': 3, 'len': 1, 'note': 'Marked as distinct in orthography; likely length or stress'}, {'matched': None, 'char': 'r', 'pos': 4}, {'matched': None, 'char': '-', 'pos': 5}]"
446,Budá,Buda,,NOUN,n.m.,,,A bar,,A bar,,"f. -í, pl. -é",mainDictionary_repaired.csv,19,original,,Budá,Budá,low,unmapped_chars_sample='Budá' count=4,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'á', 'pos': 3}]"
447,Buddh,Buddh,,NOUN,n.m.,,S. Budha,(1) Wednesday; (2) Wisdom,,(1) Wednesday; (2) Wisdom,,,mainDictionary_repaired.csv,19,original,,Buddh,Buddh,low,unmapped_chars_sample='Buddh' count=5,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'd', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}]"
448,Búg,Bug,,NOUN,n.m.,,,"A cover, especially for a gun, a pillow or bedding",,"A cover, especially for a gun, a pillow or bedding",,,mainDictionary_repaired.csv,19,original,,Búg,Búg,low,unmapped_chars_sample='Búg' count=3,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'ú', 'pos': 1}, {'matched': None, 'char': 'g', 'pos': 2}]"
449,Bugchá or -u,Bugcha or -u,,NOUN,n.m.,,,A bundle,,A bundle,,"f. -í, pl. -é",mainDictionary_repaired.csv,19,original,,Bugt͡ʃá or -u,Bugच/छá ओr -u,low,unmapped_chars_sample='Bugá r' count=9,"[{'matched': None, 'char': 'B', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 3, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'á', 'pos': 5}, {'matched': None, 'char': ' ', 'pos': 6}]"
