id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
3097,Murāṛā,Murara,,NOUN,n.m.,,,Half-burnt fuel.,,Half-burnt fuel.,,,mainDictionary_repaired.csv,93,original,,Muraːṛaː,Murआṛआ,low,unmapped_chars_sample='Murṛ' count=4,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'ṛ', 'pos': 4}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 5, 'len': 1, 'note': ""Long 'a' vowel""}]"
3098,Mūṛī,Muri,,N.F.,n.f.,,,Roasted grain for chewing.,,Roasted grain for chewing.,,"-banāwṇī, v.t. re. To prepare roasted grain; to roast grain.",mainDictionary_repaired.csv,93,original,,Muːṛī,Mऊṛī,low,unmapped_chars_sample='Mṛī' count=3,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': 'ū', 'ipa': 'uː', 'deva': 'ऊ', 'pos': 1, 'len': 1, 'note': ""Long 'u' vowel""}, {'matched': None, 'char': 'ṛ', 'pos': 2}, {'matched': None, 'char': 'ī', 'pos': 3}]"
3099,Murkh,Murkh,,NOUN,n.m. and f.,,"(S. Mūrkha, illiterate)","An illiterate man, a fool.",,"An illiterate man, a fool.",,,mainDictionary_repaired.csv,93,original,,Murkh,Murkh,low,unmapped_chars_sample='Murkh' count=5,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'k', 'pos': 3}, {'matched': None, 'char': 'h', 'pos': 4}]"
3100,Murkú,Murku,,NOUN,n.m.,,,A kind of small earring.,,A kind of small earring.,,"-ī, n.f. A small nose-ring.",mainDictionary_repaired.csv,93,original,,Murkú,Murkú,low,unmapped_chars_sample='Murkú' count=5,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'k', 'pos': 3}, {'matched': None, 'char': 'ú', 'pos': 4}]"
3101,Murlī,Murli,,N.F.,n.f.,,(S. Muralī),"A flute, a pipe (of music).",,"A flute, a pipe (of music).",,,mainDictionary_repaired.csv,93,original,,Murlī,Murlī,low,unmapped_chars_sample='Murlī' count=5,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'l', 'pos': 3}, {'matched': None, 'char': 'ī', 'pos': 4}]"
3102,Murr,Murr,,N.F.,n.f.,,"(S. Mūrti, an image)","(1) An image, an idol. (2) A picture.",,"(1) An image, an idol. (2) A picture.",,,mainDictionary_repaired.csv,93,original,,Murr,Murr,low,unmapped_chars_sample='Murr' count=4,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'r', 'pos': 3}]"
3103,Mūshā,Musha,,NOUN,n.m.,,(S. Mūṣaka),A mouse or rat.,,A mouse or rat.,,f. -ī.,mainDictionary_repaired.csv,93,original,,Muːshaː,Mऊshआ,low,unmapped_chars_sample='Msh' count=3,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': 'ū', 'ipa': 'uː', 'deva': 'ऊ', 'pos': 1, 'len': 1, 'note': ""Long 'u' vowel""}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 4, 'len': 1, 'note': ""Long 'a' vowel""}]"
3104,Mūshl,Mushl,,NOUN,n.m.,,(S. Muśala),"A pestle, a club, a mace.",,"A pestle, a club, a mace.",,,mainDictionary_repaired.csv,93,original,,Muːshl,Mऊshl,low,unmapped_chars_sample='Mshl' count=4,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': 'ū', 'ipa': 'uː', 'deva': 'ऊ', 'pos': 1, 'len': 1, 'note': ""Long 'u' vowel""}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'l', 'pos': 4}]"
3105,Mūshl-dhār-barkhā,Mushl-dhar-barkha,,N.F.,n.f.,,,Heavy rain. Raining cats and dogs.,,Heavy rain. Raining cats and dogs.,,,mainDictionary_repaired.csv,93,original,,Muːshl-dhaːr-barkhaː,Mऊshl-dhआr-bअrkhआ,low,unmapped_chars_sample='Mshl-d' count=13,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': 'ū', 'ipa': 'uː', 'deva': 'ऊ', 'pos': 1, 'len': 1, 'note': ""Long 'u' vowel""}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'l', 'pos': 4}, {'matched': None, 'char': '-', 'pos': 5}]"
3106,Mushlī,Mushli,,N.F.,n.f.,,,A small pestle or club.,,A small pestle or club.,,,mainDictionary_repaired.csv,94,original,,Mushlī,Mushlī,low,unmapped_chars_sample='Mushlī' count=6,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'l', 'pos': 4}, {'matched': None, 'char': 'ī', 'pos': 5}]"
3107,Mushtaṇḍá,Mushtanda,,ADJ.,adj. m.,,,"Young, of sound health.",,"Young, of sound health.",,adj. f. -ī. Young (woman).,mainDictionary_repaired.csv,94,original,,Mushtaṇḍá,Mushtअṇḍá,low,unmapped_chars_sample='Mushtṇ' count=8,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 't', 'pos': 4}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 5, 'len': 1, 'note': ""Short 'a' vowel""}]"
3108,Mushtu,Mushtu,,NOUN,n.m.,,,The male young of a mouse.,,The male young of a mouse.,,f. -tí.,mainDictionary_repaired.csv,94,original,,Mushtu,Mushtu,low,unmapped_chars_sample='Mushtu' count=6,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 's', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 't', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
3109,Muṭhā or -u,Mutha or -u,,NOUN,n.m.,,,A handful.,,A handful.,,,mainDictionary_repaired.csv,94,original,,Muṭhaː or -u,Muṭhआ ओr -u,low,unmapped_chars_sample='Muṭh r' count=9,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'u', 'pos': 1}, {'matched': None, 'char': 'ṭ', 'pos': 2}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 4, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': ' ', 'pos': 5}]"
3110,Mwāl,Mwal,,N.F.,n.f.,,,See Moāl.,,See Moāl.,,,mainDictionary_repaired.csv,94,original,,Mʋaːl,Mवा/वl,low,unmapped_chars_sample='Ml' count=2,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': 'wā', 'ipa': 'ʋaː', 'deva': 'वा/व', 'pos': 1, 'len': 2, 'note': ""Labio-dental approximant common in Indic languages; sometimes 'w' realized as 'ʋ'""}, {'matched': None, 'char': 'l', 'pos': 3}]"
3111,Mwehrá or -u,Mwehra or -u,,NOUN,n.m.,,,The image of a village deity.,,The image of a village deity.,,(Also Mhwerā).,mainDictionary_repaired.csv,94,original,,Mwehrá or -u,Mwएhrá ओr -u,low,unmapped_chars_sample='Mwhrá ' count=10,"[{'matched': None, 'char': 'M', 'pos': 0}, {'matched': None, 'char': 'w', 'pos': 1}, {'matched': 'e', 'ipa': 'e', 'deva': 'ए', 'pos': 2, 'len': 1, 'note': 'Mid-front vowel'}, {'matched': None, 'char': 'h', 'pos': 3}, {'matched': None, 'char': 'r', 'pos': 4}, {'matched': None, 'char': 'á', 'pos': 5}]"
3112,Nā,Na,,ADV.,adv.,,,"(1) No. (2) Neither. (3) Nor.,'Tinīe hāň nā kīyeň ní dittī' - 'He did not say yes or no.' 'Nā se thī tiṇḍī, nā se thā' - 'Neither she nor he was there.',-hāṅ, adv. Yes or no.",,"(1) No. (2) Neither. (3) Nor.,'Tinīe hāň nā kīyeň ní dittī' - 'He did not say yes or no.' 'Nā se thī tiṇḍī, nā se thā' - 'Neither she nor he was there.',-hāṅ, adv. Yes or no.",,,mainDictionary_repaired.csv,94,original,,Naː,Nआ,low,unmapped_chars_sample='N' count=1,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}]"
3113,"Nāhār, nbāṛ","Nahar, nbar",,NOUN,n.m.,,(S. Nīvāra),Corn that grows without cultivation.,,Corn that grows without cultivation.,,,mainDictionary_repaired.csv,94,original,,"Naːhaːr, nbaːṛ","Nआhआr, nbआṛ",low,"unmapped_chars_sample='Nhr, n' count=8","[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'h', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 4}, {'matched': None, 'char': ',', 'pos': 5}]"
3114,Nachhattrī,Nachhattri,,ADJ.,adj.,,,"Fortunate, born at a lucky time.",,"Fortunate, born at a lucky time.",,,mainDictionary_repaired.csv,94,original,,Nat͡ʃhattrī,Nअच/छhअttrī,low,unmapped_chars_sample='Nhttrī' count=6,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 2, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}, {'matched': None, 'char': 'h', 'pos': 4}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 5, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 't', 'pos': 6}]"
3115,"Nādā, -u","Nada, -u",,ADJ.,adj. m.,,,Difficult.,,Difficult.,,"-lāgnā, v.s. re. To be unhappy.",mainDictionary_repaired.csv,94,original,,"Naːdaː, -u","Nआdआ, -u",low,"unmapped_chars_sample='Nd, -u' count=6","[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': ',', 'pos': 4}, {'matched': None, 'char': ' ', 'pos': 5}]"
3116,Nadī,Nadi,,N.F.,n.f.,,(S.),A river.,,A river.,,,mainDictionary_repaired.csv,94,original,,Nadī,Nअdī,low,unmapped_chars_sample='Ndī' count=3,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'ī', 'pos': 3}]"
3117,Nadr,Nadr,,N.F.,n.f.,,"(P. nazr, sight)",Sight.,,Sight.,,"-paṛṇu, v.t. re. To see, to appear. v.i. re. To be seen.",mainDictionary_repaired.csv,94,original,,Nadr,Nअdr,low,unmapped_chars_sample='Ndr' count=3,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'r', 'pos': 3}]"
3118,Nādu-lāgṇu,Nadu-lagnu,,V.V.,v.v. re.,,,"To pine in love, to be unhappy.",,"To pine in love, to be unhappy.",,,mainDictionary_repaired.csv,94,original,,Naːdu-laːgṇu,Nआdu-lआgṇu,low,unmapped_chars_sample='Ndu-lg' count=8,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'u', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'l', 'pos': 5}]"
3119,Nādu-mānaṇu,Nadu-mananu,,V.I.,v.i. re.,,,To be displeased.,,To be displeased.,,,mainDictionary_repaired.csv,94,original,,Naːdu-maːnaṇu,Nआdu-mआnअṇu,low,unmapped_chars_sample='Ndu-mn' count=8,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'd', 'pos': 2}, {'matched': None, 'char': 'u', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'm', 'pos': 5}]"
3120,Nag,Nag,,NOUN,n.m.,,(H.),A jewel fit to be fixed in a ring.,,A jewel fit to be fixed in a ring.,,,mainDictionary_repaired.csv,94,original,,Nag,Nअg,low,unmapped_chars_sample='Ng' count=2,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}]"
3121,Nāg,Nag,,NOUN,n.m.,,"(S. Nāga, a cobra)",(1) A serpent. (2) The name of a village deity.,,(1) A serpent. (2) The name of a village deity.,,,mainDictionary_repaired.csv,94,original,,Naːg,Nआg,low,unmapped_chars_sample='Ng' count=2,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}]"
3122,Nagāl,Nagal,,NOUN,n.m.,,,"A kind of thin bamboo used in making baskets, etc.",,"A kind of thin bamboo used in making baskets, etc.",,,mainDictionary_repaired.csv,94,original,,Nagaːl,Nअgआl,low,unmapped_chars_sample='Ngl' count=3,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 4}]"
3123,Nagālī,Nagali,,N.F.,n.f.,,,(1) A kind of thin bamboo. (2) A basket-maker.,,(1) A kind of thin bamboo. (2) A basket-maker.,,,mainDictionary_repaired.csv,94,original,,Nagaːlī,Nअgआlī,low,unmapped_chars_sample='Nglī' count=4,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 4}, {'matched': None, 'char': 'ī', 'pos': 5}]"
3124,Nāgaṇ,Nagan,,N.F.,n.f.,,,(1) A female snake. (2) The name of a deity.,,(1) A female snake. (2) The name of a deity.,,,mainDictionary_repaired.csv,94,original,,Naːgaṇ,Nआgअṇ,low,unmapped_chars_sample='Ngṇ' count=3,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 3, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'ṇ', 'pos': 4}]"
3125,Nagandé,Nagande,,NOUN,n.m. pl.,,,The sewings which make a quilt.,,The sewings which make a quilt.,,"-deṇé, v.i. ir. To quilt.",mainDictionary_repaired.csv,94,original,,Nagandeː,Nअgअndए (lengthened),low,unmapped_chars_sample='Ngnd' count=4,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 3, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'n', 'pos': 4}, {'matched': None, 'char': 'd', 'pos': 5}]"
3126,Nagāṛā,Nagara,,NOUN,n.m.,,(P. naqqārah),A kettledrum.,,A kettledrum.,,pl. -é. Kettledrums.,mainDictionary_repaired.csv,94,original,,Nagaːṛaː,Nअgआṛआ,low,unmapped_chars_sample='Ngṛ' count=3,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'ṛ', 'pos': 4}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 5, 'len': 1, 'note': ""Long 'a' vowel""}]"
3127,Nagāṛchī,Nagarchi,,NOUN,n.m.,,,One who beats a kettledrum.,,One who beats a kettledrum.,,,mainDictionary_repaired.csv,94,original,,Nagaːṛt͡ʃī,Nअgआṛच/छī,low,unmapped_chars_sample='Ngṛī' count=4,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'ṛ', 'pos': 4}, {'matched': 'ch', 'ipa': 't͡ʃ', 'deva': 'च/छ', 'pos': 5, 'len': 2, 'note': ""Palatal affricate (as in 'church')""}]"
3128,Nagāṛkhāṇā,Nagarkhana,,NOUN,n.m.,,,A place where a band plays.,,A place where a band plays.,,,mainDictionary_repaired.csv,94,original,,Nagaːṛkhaːṇaː,Nअgआṛkhआṇआ,low,unmapped_chars_sample='Ngṛkhṇ' count=6,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'ṛ', 'pos': 4}, {'matched': None, 'char': 'k', 'pos': 5}]"
3129,Nagauṛī,Nagauri,,N.F.,n.f.,,,A kind of poisonous drug.,,A kind of poisonous drug.,,,mainDictionary_repaired.csv,94,original,,Nagauṛī,Nअgअuṛī,low,unmapped_chars_sample='Nguṛī' count=5,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'g', 'pos': 2}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 3, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'u', 'pos': 4}, {'matched': None, 'char': 'ṛ', 'pos': 5}]"
3130,"Nahāṇu, nhāṇu","Nahanu, nhanu",,V.I.,v.i. re.,,(H. nahānā),To bathe.,,To bathe.,,,mainDictionary_repaired.csv,94,original,,"Nahaːṇu, nhaːṇu","Nअhआṇu, nhआṇu",low,"unmapped_chars_sample='Nhṇu, ' count=10","[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'h', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'ṇ', 'pos': 4}, {'matched': None, 'char': 'u', 'pos': 5}]"
3131,Nahorā,Nahora,,NOUN,n.m.,,(H. nihorā),A humble request.,,A humble request.,,,mainDictionary_repaired.csv,94,original,,Nahoraː,Nअhओrआ,low,unmapped_chars_sample='Nhr' count=3,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'h', 'pos': 2}, {'matched': 'o', 'ipa': 'o', 'deva': 'ओ', 'pos': 3, 'len': 1, 'note': 'Mid-back rounded vowel'}, {'matched': None, 'char': 'r', 'pos': 4}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 5, 'len': 1, 'note': ""Long 'a' vowel""}]"
3132,"Nahwāṇu, nhwāṇu","Nahwanu, nhwanu",,V.T.,v.t. re.,,,To cause or allow to bathe.,,To cause or allow to bathe.,,,mainDictionary_repaired.csv,94,original,,"Nahʋaːṇu, nhʋaːṇu","Nअhवा/वṇu, nhवा/वṇu",low,"unmapped_chars_sample='Nhṇu, ' count=10","[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'h', 'pos': 2}, {'matched': 'wā', 'ipa': 'ʋaː', 'deva': 'वा/व', 'pos': 3, 'len': 2, 'note': ""Labio-dental approximant common in Indic languages; sometimes 'w' realized as 'ʋ'""}, {'matched': None, 'char': 'ṇ', 'pos': 5}, {'matched': None, 'char': 'u', 'pos': 6}]"
3133,"Nāī, nāwī","Nai, nawi",,NOUN,n.m.,,,A barber.,,A barber.,,,mainDictionary_repaired.csv,94,original,,"Naːī, naːwī","Nआī, nआwī",low,"unmapped_chars_sample='Nī, nw' count=7","[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'ī', 'pos': 2}, {'matched': None, 'char': ',', 'pos': 3}, {'matched': None, 'char': ' ', 'pos': 4}, {'matched': None, 'char': 'n', 'pos': 5}]"
3134,"Nāī, nau","Nai, nau",,N.F.,n.f.,,,A river.,,A river.,,,mainDictionary_repaired.csv,94,original,,"Naːī, nau","Nआī, nअu",low,"unmapped_chars_sample='Nī, nu' count=6","[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'ī', 'pos': 2}, {'matched': None, 'char': ',', 'pos': 3}, {'matched': None, 'char': ' ', 'pos': 4}, {'matched': None, 'char': 'n', 'pos': 5}]"
3135,Naichā,Naicha,,NOUN,n.m.,,(P.),A part of the hubble-bubble.,,A part of the hubble-bubble.,,,mainDictionary_repaired.csv,94,original,,Nait͡ʃaː,Nअiचा,low,unmapped_chars_sample='Ni' count=2,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'i', 'pos': 2}, {'matched': 'chā', 'ipa': 't͡ʃaː', 'deva': 'चा', 'pos': 3, 'len': 3, 'note': 'ch + long a'}]"
3136,Naitā,Naita,,NOUN,n.m.,,,A rivulet.,,A rivulet.,,,mainDictionary_repaired.csv,94,original,,Naitaː,Nअiता,low,unmapped_chars_sample='Ni' count=2,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'i', 'pos': 2}, {'matched': 'tā', 'ipa': 'taː', 'deva': 'ता', 'pos': 3, 'len': 2, 'note': 't + long a'}]"
3137,Naité,Naite,,ADV.,adv.,,,By way of the river.,,By way of the river.,,,mainDictionary_repaired.csv,94,original,,Naiteː,Nअitए (lengthened),low,unmapped_chars_sample='Nit' count=3,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'i', 'pos': 2}, {'matched': None, 'char': 't', 'pos': 3}, {'matched': 'é', 'ipa': 'eː', 'deva': 'ए (lengthened)', 'pos': 4, 'len': 1, 'note': 'Marked as distinct in orthography; likely length or stress'}]"
3138,Naitī,Naiti,,N.F.,n.f.,,,(1) A rivulet. (2) adv. By way of the rivulet.,,(1) A rivulet. (2) adv. By way of the rivulet.,,,mainDictionary_repaired.csv,94,original,,Naitī,Nअitī,low,unmapped_chars_sample='Nitī' count=4,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'i', 'pos': 2}, {'matched': None, 'char': 't', 'pos': 3}, {'matched': None, 'char': 'ī', 'pos': 4}]"
3139,Naj,Naj,,NOUN,n.m.,,(H. anāj),Food or grain.,,Food or grain.,,(Also nāj).,mainDictionary_repaired.csv,95,original,,Naj,Nअj,low,unmapped_chars_sample='Nj' count=2,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'j', 'pos': 2}]"
3140,Najāṇ,Najan,,ADJ.,adj.,,,"Ignorant, unwise.",,"Ignorant, unwise.",,,mainDictionary_repaired.csv,95,original,,Najaːṇ,Nअjआṇ,low,unmapped_chars_sample='Njṇ' count=3,"[{'matched': None, 'char': 'N', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'j', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'ṇ', 'pos': 4}]"
