id,headword,normalized_headword,pronunciation,pos,pos_tag,morph,etymology,gloss_en,gloss_ru,definition,senses,examples,source,page,confidence,notes,pronunciation_ipa,pronunciation_deva,pron_confidence,pron_note,pron_token_sample
3430,Pāpī,Papi,,ADJ.,adj.,,(S. Pāpin),Sinful.,,Sinful.,,,mainDictionary_repaired.csv,103,original,,Paːpī,Pआpī,low,unmapped_chars_sample='Ppī' count=3,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'p', 'pos': 2}, {'matched': None, 'char': 'ī', 'pos': 3}]"
3431,Pār,Par,,ADV.,adv.,,,Across.,,Across.,,,mainDictionary_repaired.csv,103,original,,Paːr,Pआr,low,unmapped_chars_sample='Pr' count=2,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}]"
3432,Paraiṇā,Paraina,,NOUN,n.m.,,(S. Pariṇayana),A form of marriage observed among Kāneṭs.,,A form of marriage observed among Kāneṭs.,,(See Rīti-maṇḍī).,mainDictionary_repaired.csv,103,original,,Paraiṇaː,Pअrअiṇआ,low,unmapped_chars_sample='Priṇ' count=4,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 3, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'i', 'pos': 4}, {'matched': None, 'char': 'ṇ', 'pos': 5}]"
3433,Parāntū,Parantu,,NOUN,n.m.,,,A nuptial ceremony observed on a smaller scale than a paraiṇā.,,A nuptial ceremony observed on a smaller scale than a paraiṇā.,,,mainDictionary_repaired.csv,103,original,,Paraːntuː,Pअrआntऊ,low,unmapped_chars_sample='Prnt' count=4,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'n', 'pos': 4}, {'matched': None, 'char': 't', 'pos': 5}]"
3434,Parāl,Paral,,NOUN,n.m.,,(S. Palāla),Rice-straw.,,Rice-straw.,,(Also prā'l).,mainDictionary_repaired.csv,103,original,,Paraːl,Pअrआl,low,unmapped_chars_sample='Prl' count=3,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 4}]"
3435,Parāl-lāṇé,Paral-lane,,V.T.,v.t. ir. pl.,,,"To beseech, to implore.",,"To beseech, to implore.",,'Hāmu deū parālné lāé' - 'They began to beseech the village deities.',mainDictionary_repaired.csv,103,original,,Paraːl-laːṇeː,Pअrआl-lआṇए (lengthened),low,unmapped_chars_sample='Prl-lṇ' count=6,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'l', 'pos': 4}, {'matched': None, 'char': '-', 'pos': 5}]"
3436,Pārā,Para,,NOUN,n.m.,,,Quicksilver.,,Quicksilver.,,,mainDictionary_repaired.csv,103,original,,Paːraː,Pआrआ,low,unmapped_chars_sample='Pr' count=2,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}]"
3437,Parār,Parar,,ADV.,adv.,,,The year before last.,,The year before last.,,,mainDictionary_repaired.csv,103,original,,Paraːr,Pअrआr,low,unmapped_chars_sample='Prr' count=3,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 4}]"
3438,"Parāt, prāt","Parat, prat",,NOUN,n.m.,,,A large dish.,,A large dish.,,(H.).,mainDictionary_repaired.csv,103,original,,"Paraːt, praːt","Pअrआt, prआt",low,"unmapped_chars_sample='Prt, p' count=8","[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 3, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 't', 'pos': 4}, {'matched': None, 'char': ',', 'pos': 5}]"
3439,Paréwī,Parewi,,N.F.,n.f.,,(S. Pratipadā),The first day of the bright or dark half of a month.,,The first day of the bright or dark half of a month.,,,mainDictionary_repaired.csv,103,original,,Pareːwī,Pअrए (lengthened)wī,low,unmapped_chars_sample='Prwī' count=4,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'a', 'ipa': 'a', 'deva': 'अ', 'pos': 1, 'len': 1, 'note': ""Short 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': 'é', 'ipa': 'eː', 'deva': 'ए (lengthened)', 'pos': 3, 'len': 1, 'note': 'Marked as distinct in orthography; likely length or stress'}, {'matched': None, 'char': 'w', 'pos': 4}, {'matched': None, 'char': 'ī', 'pos': 5}]"
3440,Pārī,Pari,,ADV.,adv.,,,Beyond.,,Beyond.,,,mainDictionary_repaired.csv,103,original,,Paːrī,Pआrī,low,unmapped_chars_sample='Prī' count=3,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'ī', 'pos': 3}]"
3441,Pāri-go-ā-lā,Pari-go-a-la,,P.,p.,,,Would have fallen.,,Would have fallen.,,,mainDictionary_repaired.csv,103,original,,Paːri-go-aː-laː,Pआri-gओ-आ-lआ,low,unmapped_chars_sample='Pri-g-' count=8,"[{'matched': None, 'char': 'P', 'pos': 0}, {'matched': 'ā', 'ipa': 'aː', 'deva': 'आ', 'pos': 1, 'len': 1, 'note': ""Long 'a' vowel""}, {'matched': None, 'char': 'r', 'pos': 2}, {'matched': None, 'char': 'i', 'pos': 3}, {'matched': None, 'char': '-', 'pos': 4}, {'matched': None, 'char': 'g', 'pos': 5}]"
