id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
1,A,A,,,,a,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
2,adət,adət,NOUN,5_f-Chabit,"Arab, Hin, Pers a ̄dat < 'ādat",,привычка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
3,admi,admi,NOUN,2_m-V,"Arab, Hin, Pers a ̄dmī < ādamī",man,мужчина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
4,ãdʒ,adʒ,NOUN,5_f-Cintestineкишки,OIAāntrá,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
5,aɖi,aɖi,,,Mandealiaḍḍi 'heel' [Ranganatha 119] < *aḍḍi ʻ heel ʼ. 2. *aḍi -- . 3. *ēḍḍi -- . 4. *ēḍi,n3_f-Vheel,пятка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
6,age,age,ADV,,Hināge < ágra,further,дальше,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
7,agəɭ,agəɭ,NOUN,7_f-idoor,"Himachali, Mandeali *argaḍa, argala",bolt in old houses door bolt,задвижка agi dʰire advfront вперед,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
8,ahɳ,ahɳ,NOUN,7_f-inettleкрапива,Suspicious IA etymology agnika,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
9,airna,airna,,,Bad OIAadhikarōti,vtarrange the warp in order to weave the material arrange,приводить в порядок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
10,ajskrim,ajskrim,,,Eng ice-cream,n5_f-Cice-cream,мороженое,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
11,aɭu,aɭu,,,"OIAāluka, ālukī",n2_m-V potato,картофель,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
12,am,am,,,"Arab, Hin a ̄m < 'ām",adjordinary,обычный,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
13,ama,ama,NOUN,6_f-amotherмать,compensatory lenghtening IA languageambāˊ,ama-bapu n 2_m-Vpl parents,родители,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
14,amb,amb,,,OIAāmrá,n4_m-C mango,манго,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
15,amu,amu,NOUN,3_f-Vmotherмать,compensatory lenghtening IA language ambāˊ,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
16,andre,andre,,,compensatory lenghtening IA languageántara,1) advinside,внутри 2) postinside внутри,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
17,angəɳ,angəɳ,NOUN,4_m-C,Mandealia ːngəṇ < aṅgana,courtyard,двор,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
18,angi,angi,,,compensatory lenghtening IA languageáṅga (āṅga?,) advseparately,отдельно alag,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
19,aɳɖa,aɳɖa,NOUN,1_m-a,OIAāṇḍá,egg,яйцо,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
20,aɳna,aɳna,,,OIAāˊnayati,vtbring,приносить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
21,apɳa,apɳa,,,Bad OIA word *ātmanaka,possone's,свой,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
22,ar,ar,NOUN,5_f-Cgoad,OIAāˊrā,,стрекало1 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
23,ara,ara,NOUN,1_m-a,"Pers, Hin a ̄rā < arra",saw (big),пила (большая),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
24,ari,ari,NOUN,3_f-Vsaw,"Pers, Hina ̄rā + ī < arra",(small),пила (маленькая),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
25,arkʰəɳ,arkhəɳ,NOUN,7_f-ielbowлокоть,Bad OIA wordaratní,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
26,arʃu,arʃu,NOUN,2_m-V,OIAādarśá,mirror,зеркало,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
27,asa,asa,,,Mandeali asse < asmḗ,pers1PL.OBL 1PL.OBL asabepers1) 1PL.ACC 1PL.ACC 2) 1PL.DAT 1PL.DAT,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
28,ase,ase,,,Mandealiasse < *asmē,pers1PL.DIR 1PL.DIR,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
29,ase,ase,,,Mandealiasse < asmḗ,pers1PL.ERG1PL.ERG,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
30,asəra,asəra,,,Mandealiasse < asmḗ,poss1) 1PL.POSS 1PL.POSS 2) our,наш,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
31,atʃarja,atʃarja,,,Skrācārya,npropAcharya,Ачарья,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
32,aʈa,aʈa,NOUN,6_f-a,OIA*ārta,sg flour,мука aʈɳavtpour into pour intoзачёрпывать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
33,auɳa,auɳa,,,Bad OIAāpayati,vinstndcome,приходить Ɐ ɐ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
34,ɐgər,ɐgər,NOUN,5_f-Cwisdom,"Hin, Pers agar",tooth,зуб мудрости B b,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
35,bad,bad,,,"Arab, Hin ba ̄d < bā'd",postafter,после,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
36,badəɭ,badəɭ,NOUN,4_m-C,OIAvārdala,cloud,облако,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
37,badza,badza,,,compensatory lenghtening IA language bharjita,n2_m-V hay,сено,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
38,badzɳa,badzɳa,,,OIAvādyatē,viplay,играть(about music),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
39,badzra,badzra,NOUN,1_m-a,OIA*bājjara,sg pearl millet,"просо, жемчужное просо",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
40,badʒa,badʒa,,,Hin bājā < vāˊdya,n1_m-a musical instrument,музыкальный инструмент,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
41,baəʈʰ,baəʈh,NUM,,Bad OIA word dvāṣaṣṭi,sixty two,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
42,bag,bag,NOUN,4_m-C,"Pers, Hin ba ̄g̣",garden,сад,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
43,bagər,bagər,NOUN,5_f-Csg,OIA*vātōdgūra,1) air,воздух 2) wind ветер,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
44,bãh,bah,NOUN,7_f-iarm,OIAbāhú,,рука (от плеча до запястья)1 22 of 40 7/7/2023 9:52 PM bahɳn 4_m-C vahanaездовое животное божества,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
45,bahɳa,bahɳa,,,OIAvāhayati,vtsow,сеять,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
46,bahr,bahr,,,OIA*bāhira,advoutside,"наружу, снаружи",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
47,bahuɽ,bahuɽ,NOUN,7_f-i1),"Accent issue, Bad OIA *vāsavāṭī",mud floor,земляной пол miṭṭī kā farś2) floor пол,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
48,bãka,baka,ADJ,,OIAvāmá + akka?,them. beautiful,красивый,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
49,bakʰi,bakhi,NOUN,1),"compensatory lenghtening IA language, неопознанный индоарийский язык, где kṣ>khkh IA languagevákṣas",side,сторона 2) sufaceповерхность 3) part часть,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
50,balu,balu,NOUN,,Hin bālū < vāluka,sand,песок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
51,baɭ,baɭ,NOUN,4_m-C,OIAvāˊla,sg hair,волосы baɭin 3_f-Vearringсерьга,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
52,baɭu,baɭu,NOUN,2_m-V,OIAvālaka,earring,серьга bamən n4_m-C braminбрамин,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
53,bandər,bandər,,,Bad OIA word vāˊnara,n4_m-C monkey,обезьяна,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
54,bandri,bandri,,,Bad OIA word vāˊnara,n3_f-Vmonkey (female),обезьяна (самка),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
55,baɳ,baɳ,NOUN,4_m-C,OIAbāṇá,1) bowstring,тетива 2) arrowстрела,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
56,bapəs,bapəs,,,"Hin, Pers va ̄pas",adv1) back,обратно bapəs dzaɳa vireturn возвращаться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
57,bapu,bapu,NOUN,2_m-V,OIA*bāppa,father,отец,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
58,bara,bara,NUM,,Bad OIA word dvāˊdaśa,twelve,двенадцать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
59,barən,barən,,,Pers bāre,postabout,о,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
60,bas,bas,,,OIAvāsa,n5_f-Csmell,запах,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
61,bãs,bas,NOUN,4_m-C,Hin bā̃s < vaṁśá,bamboo,бамбук,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
62,basmati,basmati,,,"Hin, Skrba ̄smati",n3_f-Vrice basmati,рис басмати,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
63,baʃɳa,baʃɳa,,,OIAvāˊśyatē,vi1) croak,каркать 2) moo мычать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
64,batər,batər,,,compensatory lenghtening IA language *vaptra,n5_f-C,"влажность почвы после дождя, достаточная для посеваmoisture (of soil)влажность почвы",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
65,batʰəɭ,bathəɭ,NOUN,5_f-Cдля,OIA*vāpasthalā,,"культивации пшеницы или кукурузы, но не риса13 of 40 7/7/2023 9:52 PM dry field сухое поле",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
66,baʈɳa,baʈɳa,,,OIAvartáyati,1) vsheave,"вязать снопы 2) vttwistсплетать, скручивать",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
67,baw̄a,bawa,ADJ,,OIAvāˊma,them. left,левый,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
68,bɐs,bɐs,,,Eng bus,n5_f-Cbus,автобус,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
69,bɐttər,bɐttər,NUM,,OIAdvāˊsaptati,seventy two,"проверить, не минимальная ли пара bɐtʃpən n 4_m-C childhood детство",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
70,bɐʈ,bɐʈ,,,Eng but,conjbut,но bebin3_f-Velder sisterстаршая сестра,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
71,bed,bed,NOUN,2_m-V,Skrveda,Veda,Веда,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
72,bedza,bedza,NOUN,1_m-a,OIA*baijya,sg seed,семя,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
73,bel,bel,,,dental sonant only IA languagevḗlā,n5_f-Ctime (of the day),время суток,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
74,bel,bel,NOUN,5_f-Cvineлоза,OIAvēlli,bendan 1_m-a guy,человек,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
75,benk,benk,NOUN,4_m-C,Eng bank,bank,банк,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
76,beɽʰa,beɽha,NOUN,1_m-a,Bad OIA wordvēṣṭá,castle,замок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
77,beʃɳa,beʃɳa,,,OIAúpaviśati,1) vishend sit,сидеть 2) auxCOMPL COMPL,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
78,betsɳa,betsɳa,,,OIA*vētyayati,vtsell,продавать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
79,beʈa,beʈa,,,OIA*bēṭṭa,n1_m-a 1) son,сын 2) boy мальчик 3) child ребёнок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
80,beʈi,beʈi,NOUN,3_f-Vdaughterдочь,OIA*bēṭṭa,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
81,beʈɽi,beʈɽi,,,OIA*bēṭṭa,n3_f-Vwoman,женщина,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
82,beuɽ,beuɽ,NOUN,7_f-ilower,Suspicious IA etymology *vētuka- or *vēḍu,(outer) border of terrace field,наружная граница террасного поля bewkupʰi nstupid thingглупость,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
83,bɛdəlɳa,bɛdəlɳa,VERB,,"Arab, Hin badalna < badal",turn,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
84,bɛdən,bɛdən,NOUN,4_m-C,"Hin, Arab badan",body,тело,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
85,bɛhɳ,bɛhɳ,,,"ɛ/ɐ IA language, Himachali bhaginī",n7_f-isister,сестра,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
86,bɛkɳa,bɛkɳa,,,Himachali bakɳõ < *bakk у Тёрнера? скорее bāk / vāk?,vtopen (mouth),открывать рот mũh kholna1 1 1 24 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
87,bɛksa,bɛksa,,,Eng box,n1_m-a box,"коробка bɛnd kɛrna (Pers, Hin band ) vt1) close закрывать 2) stop прекращать bɛntʃn 4_m-C bench скамья",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
88,bɛɳna,bɛɳna,NOUN,4_m-C,"ɛ/ɐ IA language, Mandeali, Punjabi vánati, vanṓti, *vanvati, *vanyatē",farther's elder brother,старший брат отца bɛɽi ama (Bad OIA word vaḍra + ambāˊ ) n 6_f-afather’s elder brother’s wifeжена старшего брата отца,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
89,bɛɽna,bɛɽna,,,"OIAvárdhatē ʻ grows, increases ʼ",vi,размножаться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
90,bɛtəkʰ,bɛtəkh,,,"Hin, Pers batakh < bat ̤t̤ax",n5_f-Cduck,утка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
91,bɛtsɳa,bɛtsɳa,,,Hin vacyátē,vi1) escape,спасаться 2) be saved оставаться,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
92,bədam,bədam,NOUN,4_m-C,Pers bādām,almond,миндаль,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
93,bədlaɳa,bədlaɳa,,,"Arab, Hin badalna < badal",vtchange,менять,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
94,bədʰaɳa,bədhaɳa,,,OIAvardhayati,vtmake kill,заставить убить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
95,bədzar,bədzar,NOUN,,"Pers, Hin ba ̄zār",market,рынок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
96,bədzʰeɭna,bədzheɭna,,,OIAbúdhyatē,vtwake,будить jagāna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
97,bəɖʰija,bəɖhija,ADJ,,Hinbaɽʰija < vardhita,athem. perfect,прекрасный,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
98,bəgar,bəgar,NOUN,,Pers begār,"hard work, care",тяжёлая мучительная работа,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
99,bəgere,bəgere,,,"Arab, Hin vag ̣airah < va-g ̣airu-hu",prtand the like,и тому подобное,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
100,bəgitsa,bəgitsa,NOUN,1_m-a,"Pers, Hin bag ̣īcā < bāg̣īca",garden,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
101,bəkʰan,bəkhan,NOUN,4_m-C,OIAvyākhyāˊna,story,рассказ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
102,bəkʰaɳa,bəkhaɳa,,,Suspicious IA etymology*dvālayati X dhúkṣatē,vtlight,зажечь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
103,bəlgəm,bəlgəm,,,Arabbalg̣am,n4_m-C cough,кашель,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
104,bəɳsoka,bəɳsoka,NOUN,1_m-a,Unknown vana + ?,civet,"пальмовая цивета bəɽ-bəɽ kɛrna vtspeak a lot, babbleмного говорить, болтать",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
105,bəɽʰaɳa,bəɽhaɳa,,,Bad OIA wordvardháyati,vtenlarge,увеличивать bəsprt1) enough достаточно 2) soвот,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
106,bəʃah,bəʃah,NOUN,4_m-C,OIAviśvāsa,hope,надежда5 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
107,bəʃaɳa,bəʃaɳa,,,OIAúpaviśati + caus,vtseat,усаживать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
108,bətsaɳa,bətsaɳa,,,OIA vacyátē + caus,vtsave,спасать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
109,bətsʰaɳa,bətshaɳa,,,OIA*vicchādayati,vtspread,стелить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
110,bətsʰeɳ,bətsheɳ,,,OIA*vicchādana,n5_f-C1) bed cloth,постель 2) подстилка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
111,bəʈũi,bəʈui,,,OIA*vartu,n3_f-Vmetallic vessel for water,металлический сосуд для воды,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
112,bidʰwa,bidhwa,NOUN,6_f-awidowвдова,"Skr, Hin vidhwa < vidhávā",,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
113,bidzɭi,bidzɭi,NOUN,3_f-V1),OIAvidyullatā,lightning,молния 2) electricity электричество,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
114,bidʒɛj,bidʒɛj,NOUN,5_f-Cvictory,"Skr, Accent issuevijaya",,победа,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
115,bigjan,bigjan,NOUN,4_m-C,Skrvijñana,science,наука,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
116,bih,bih,NUM,,Bad OIA word viṁśatí,twenty bihaɭn 3_f-Vfoot of mountain,подножье горы,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
117,bihaũsra,bihausra,,,Accent issue †*vibhāniḥsāra,n6_f-aearly morning,раннее утро,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
118,bikɳa,bikɳa,,,Hinvikrīyatē,vibe for sale,продаваться bikna,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
119,bina,bina,NOUN,1_m-a,Bad OIA word*bīṇḍa-,small mat,небольшой коврик,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
120,binɳa,binɳa,,,OIA*vindhati,vtpierce,"прокалывать (уши, нос) biɳnan 1_m-a earhole прокол в ухе",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
121,birʃ,birʃ,NOUN,4_m-C,"Bad OIA, Skr vŕ̊ṣan",bull,бык,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
122,bisərna,bisərna,,,OIAvismarati,vt1) forget,забывать 2) loseтерять,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
123,biʃwas,biʃwas,NOUN,4_m-C,"Skr, Hin viśvāsa",belief,вера,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
124,bitsʰu,bitshu,NOUN,2_m-V,OIAvŕ̊ścika,scorpion,скорпион,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
125,bjah,bjah,NOUN,1_m-a,OIAvivāhá,marriage,"свадьба bjaln 7_f-inight food, dinnerужин",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
126,bjaz,bjaz,,,"Skr, Hin byaz < vya ̄ja",n4_m-C financial interest,процент по кредиту,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
127,bjũʃri,bjuʃri,,,Bad OIAvaṁśī,n3_f-Vbamboo flute,бамбуковая дудочка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
128,blagɳa,blagɳa,,,OIA*vilagyati  ?,"vtdelay, take someone's timedelay",задерживать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
129,bɳaɳa,bɳaɳa,,,"OIAvānayati, vanayati",vt1) make,делать 2) create создавать 3) cook готовить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
130,bobi,bobi,NOUN,3_f-Velder,Suspicious IA etymology bhaginī ?,sister,старшая сестра,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
131,bobo,bobo,NOUN,3_f-Velder,Suspicious IA etymology bhaginī ?,sister,старшая сестра6 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
132,boɖər,boɖər,NOUN,4_m-C,Engborder,1) border,граница 2) cloth border граница,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
133,bolɳa,bolɳa,,,OIA*bōll,vtsay,говорить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
134,bomb,bomb,NOUN,4_m-C,Engbomb,bomb,бомба,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
135,botəl,botəl,NOUN,5_f-Cbottleбутылка,Eng bottle,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
136,boʈi,boʈi,,,Suspicious IA etymologybhaktá,n2_m-V cook,повар,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
137,bɔdza,bɔdza,NOUN,1_m-a,"Pers, Arab waẓāʼiʻ",,"то, что несут на спинеweight груз, ноша",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
138,bɔhɳa,bɔhɳa,,,OIAváhati,vtcarry,нести,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
139,bɔkra,bɔkra,,,OIAbárkara,n1_m-a goat (male),козел,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
140,bɔkri,bɔkri,,,OIAbárkara,n3_f-Vgoat (female),коза,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
141,bɔkt,bɔkt,,,"Pers, Himachali bɔkt < vaqt",n4_m-C time,время,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
142,bɔld,bɔld,NOUN,4_m-C,dental sonant only IA language balivárda,1) ox,буйвол 2) bull бык bɔnn 4_m-C Himalayan oakгималайский дуб,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
143,bɔnɳa,bɔnɳa,,,OIAbandhati,vttie,связывать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
144,bɔɳ,bɔɳ,,,OIAvána,n4_m-C forest,лес,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
145,bɔɳɖɳa,bɔɳɖɳa,,,"OIAváṇṭati, vaṇṭáyati",vtshare,делить,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
146,bɔrdzɳa,bɔrdzɳa,,,OIA†vardhyatē,vigrow,расти,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
147,bɔrʃ,bɔrʃ,NOUN,5_f-Cyearгод,OIAvarṣá,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
148,bɔɽ,bɔɽ,NOUN,5_f-Ccorner,Unknown,,"конец, край",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
149,bɔt,bɔt,NOUN,5_f-Croad,OIAvártman,,путь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
150,bɔtsʰi,bɔtshi,,,OIAvatsá,n3_f-Vshe-calf,телочка,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
151,bɔtsʰu,bɔtshu,NOUN,2_m-V,OIAvatsá,calf (he),бычок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
152,bragʰ,bragh,NOUN,4_m-C,OIAvyāghrá + met,1) tiger,тигр 2) leopardлеопард 3) lion лев,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
153,brɛɳɖa,brɛɳɖa,,,"Hin, Portbarāṇḍā < veranda",n1_m-a 1) verandah (upper floor),веранда 2) balcony балкон,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
154,brjaɭ,brjaɭ,NOUN,1_m-a,Bad OIAvarṣakāla,sg hot weather (summer),жаркая погода (лето),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
155,brũn5_f-Cwarp,brun5_f-Cwarp,,,of textile,,основа ткани,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
156,bɽaɭi,bɽaɭi,,,OIAbíḍāla,n3_f-Vcat,кошка budɳavtcover закрывать отверстие kisī ched ko band karna7 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
157,budʰ,budh,NOUN,4_m-C,Skrbudhavāra,Wednesday,среда,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
158,buhar,buhar,NOUN,7_f-ibroom,OIAbahukara / bahukāra,stick,метла,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
159,bumɳi,bumɳi,NOUN,3_f-Vдве,Suspicious IA etymology *vunāti,,"спицы, соединённые цепочкой, которыми закалывают патту при надевании pins for costume булавки для костюма",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
160,bunna,bunna,,,OIA*vunāti,vtweave,ткать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
161,bura,bura,ADJ,,OIA*bura,them. bad,плохой 2) advbadплохо,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
162,buʈa,buʈa,,,OIA*būṭṭa,n1_m-a tree,дерево,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
163,buzurg,buzurg,NOUN,4_m-C,"Pers, Hin buzurg < bozorg",elder,старик Bʰ bʰ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
164,bʰadru,bhadru,,,"Punjabi, Mandeali < bhādrapada???","nBhadrapad, name of month (August- September)",,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
165,bʰadzi,bhadzi,,,Himachali b'adzɪ < bharjita,n3_f-Vfried vegetables,жареные овощи,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
166,bʰag,bhag,NOUN,4_m-Csg,"Skr, Hin bhāg < bhāgáḥ",1) miller's part of grain,"доля зерна, достающаяся мельнику 2) fate судьба 3) lotдоля",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
167,bʰagja,bhagja,,,Skrbhāgya,n1_m-a fate,судьба,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
168,bʰala,bhala,NOUN,1_m-a,Hin bhālā < bhalla,spear,копьё,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
169,bʰaɭɳa,bhaɭɳa,,,OIAbhāláyatē,vtstndwatch,смотреть,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
170,bʰaɳbʰaɳi,bhaɳbhaɳi,NOUN,3_f-Vhard,ɛ/ɐ IA language*bhan bhánati,headache,сильная головная боль,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
171,bʰaɳdza,bhaɳdza,,,"Bad OIA word, Accent issuebhāginēya",n1_m-a nephew (sister’s son) nephew,племянник,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
172,bʰaɳdʒi,bhaɳdʒi,,,"Bad OIA word, Accent issuebhāginēyī",n3_f-Vniece (sister’s daughter)niece,племянница,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
