id,headword,normalized_headword,pos,pos_tag,etymology,definition,gloss_ru,examples,source,page,notes
575,kraɳa,kraɳa,,,OIAkarṓti + caus,vt1) make do,заставлять делать 2) assign поручать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
576,krara,krara,ADJ,,Suspicious IA etymology kaḍḍ,them. crispy,хрустящий,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
577,krĩga,kriga,,,OIA**ku+*riṅk ?,n6_f-ascream,вопль krĩga marna vtscream кричать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
578,kriʃɳa,kriʃɳa,,,OIA*kriśnāti,vtlevel wood with a tool,ровнять дерево при помощи инструмента,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
579,kɽahi,kɽahi,NOUN,3_f-Vkarahiсковорода-карахи,OIA2638 kaṭāha,kʃudɳa vt,"убирать (навоз, глину, песок)",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
580,kudɳa,kudɳa,,,OIAkūˊrdati,vijump,прыгать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
581,kũdzi,kudzi,NOUN,3_f-Vkeyключ,OIAkuñcikā,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
582,kukəɖ,kukəɖ,,,OIAkukkuṭá,n4_m-C cock,петух,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
583,kukəɽi,kukəɽi,NOUN,3_f-Vhen,OIAkukkuṭá,,курица kukɽu n 4_m-C maize seedкукурузное зерно kukɽu-kɽu interjcock-a-doodle-doo кукареку,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
584,kulh,kulh,NOUN,5_f-Ccanalканал,Bad OIA word*kūlyā-,,,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
585,kulu,kulu,PROPN,2_m-V,Hin kulū < kulūta-,Kullu,"Куллу kungun 2_m-V tika, ritual point on the forehead tikaтика kuɳ1) relprowho кто 2) interrogwho кто",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
586,kuɳa,kuɳa,NOUN,1_m-a,Bad OIA wordkōṇa,1) edge,край 2) corner угол,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
587,kuʃi,kuʃi,NOUN,3_f-V1),Unknown,ornament on the border of a pattu,"узор на краю патту, обычно красный 2) clewклубок",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
588,kuta,kuta,NOUN,1_m-a,OIA*kutta,dog,собака,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
589,kuti,kuti,NOUN,3_f-Vshe-dog,OIA*kutta,,собака (самка),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
590,kuʈɳa,kuʈɳa,,,OIAkuṭṭáyati,vtpound,толочь,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
591,kuʈu,kuʈu,NOUN,2_m-V,OIA*kuṭṭa,biscuit,печенье kw̃an 1_m-a well,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
592,kwand,kwand,NOUN,4_m-C,Persḳhawand,husband,муж,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
593,kw̃ara,kwara,NOUN,4_m-C,OIAkumārá,bachelor,холостяк131 of 40 7/7/2023 9:52 PM,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
594,kw̃ari,kwari,NOUN,3_f-Vunmarried,OIAkumārá,woman,незамужняя женщина Kʰ kʰ,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
595,kʰakʰ,khakh,,,compensatory lenghtening IA languagekhákkhati,n7_f-imouth,рот,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
596,kʰangɳa,khangɳa,,,"Bad OIA, Punjabi khaṇghṉá < *khaṅkh",vicough,кашлять,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
597,kʰaɳa,khaɳa,VERB,,OIAkhāˊdati,stnd1) eat,естьkhāna2) bite кусать,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
598,kʰaɳa,khaɳa,NOUN,1_m-a,OIAkhādana,1) meal,время еды 2) food еда kʰaɳa bəɳaɳa vtcook готовить еду,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
599,kʰapra,khapra,NOUN,1_m-a,Suspicious IA etymology kharpara,1) old man,старик 2) ancestor предок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
600,kʰapra,khapra,,,Suspicious IA etymology kharpara,adjthem. old,старый būṛhā,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
601,kʰapri,khapri,,,Suspicious IA etymology kharpara,n3_f-Vold woman,старуха,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
602,kʰata,khata,,,"Hin khātā <  kṣatrá n. ʻ might, rule ʼ",n1_m-a accout book,счётная книга,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
603,kʰatʃ,khatʃ,NOUN,4_m-C,OIAkhāˊtra,"pit, hole",яма,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
604,kʰɐdər,khɐdər,NOUN,4_m-C,Punjabikhaddar < *khaddara,cotton,хлопок,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
605,kʰɐnkɳa,khɐnkɳa,,,Hin khanaknā < khaṇakhaṇāyatē,"vijingle, ding (of silver)",звенеть (о серебре),,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
606,kʰɐʃkʰəʃa,khɐʃkhəʃa,,,Pers ḵẖashn X Hin kharkharā,adjthem. 1) hoarse,"хриплый (о голосе) 2) itchy колючий (о шерсти) 3) rough шершавый, жёсткий",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
607,kʰɐtəm,khɐtəm,,,"Arab, Pers ḵẖatm",adjfinished,"законченный kʰedɳa vthoy понукать, погонять животных hā̃kna",,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
608,kʰedza,khedza,,,OIA*khēdyatē,n1_m-a troubles,хлопоты,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
609,kʰel,khel,NOUN,5_f-Cgame,OIA*khēll-,,игра,,Kullui-Eng-Rus-Dictionary-July2023.pdf,,
